,average_change_in_output,binned_conditional_lift_ratios,cluster #,from,input,num_hh_in_bins,num_hh_in_cluster,to
16,142.1669772290002,"[3.785604062804835, 1.8315508412254053, -0.32784212170042903]",0,2011,owns_land_certificate___policy,"[27, 273, 48]",377,2013
17,-191.1812485369819,"[2.85955928592881, 1.2154706770552768, 0.24381113465006016]",0,2013,owns_land_certificate___policy,"[28, 320, 61]",421,2015
18,449.4459791149767,"[0.19025486595912078, 1.10383244554239, 0.1558619154040502]",1,2011,owns_land_certificate___policy,"[47, 401, 74]",576,2013
19,53.982329195246905,"[17.26129856237771, 1.7030143444883155, -4.912821789016638]",1,2013,owns_land_certificate___policy,"[47, 306, 88]",454,2015
20,177.40290432554372,"[2.6175613575877366, 1.430685373758941, 1.2501334074865238]",2,2011,owns_land_certificate___policy,"[47, 253, 44]",369,2013
21,-63.99470605519511,"[8.371085053794847, -3.2362169639741607, 9.976646442393863]",2,2013,owns_land_certificate___policy,"[79, 339, 101]",526,2015
22,190.67473044754868,"[3.9779944615000202, -2.0295732520357324, 7.648266516285752]",3,2011,owns_land_certificate___policy,"[13, 123, 27]",178,2013
23,-822.9622964571834,"[2.284893211839368, 0.9854206410356605, 0.6282185197238489]",3,2013,owns_land_certificate___policy,"[29, 157, 47]",240,2015
24,142.1669772290002,"[1.1049094542411033, 1.0222909091111037, 0.20915889772098997]",0,2011,amount_of_assistance_received___policy,"[22, 322, 30]",377,2013
25,-191.1812485369819,"[-0.3147474931217716, 1.117771313740624, 1.2175571928331732]",0,2013,amount_of_assistance_received___policy,"[39, 319, 63]",421,2015
26,449.4459791149767,"[0.6369722839713177, 0.9436659840527126, 1.6387110257689392]",1,2011,amount_of_assistance_received___policy,"[15, 494, 64]",576,2013
27,53.982329195246905,"[0.1469322989036984, -0.6894615241320559, 11.236579375799764]",1,2013,amount_of_assistance_received___policy,"[33, 359, 62]",454,2015
28,177.40290432554372,"[7.1708547261935385, 0.6998668553102068, 2.2759276143546754]",2,2011,amount_of_assistance_received___policy,"[12, 336, 21]",369,2013
29,-63.99470605519511,"[-12.37220765988967, 1.3007940350369303, 3.4612239571423875]",2,2013,amount_of_assistance_received___policy,"[22, 438, 66]",526,2015
30,190.67473044754868,"[1.724260527508012, 0.6629441557579456, 14.60061285277932]",3,2011,amount_of_assistance_received___policy,"[4, 170, 4]",178,2013
31,-822.9622964571834,"[2.311032928357216, 0.9455823964717607, 0.8522618724735538]",3,2013,amount_of_assistance_received___policy,"[11, 208, 21]",240,2015
32,142.1669772290002,"[-3.8253725245854264, 0.40028393814986046, 5.069385929397141]",0,2011,number_of_hired_workers___policy,"[34, 78, 34]",377,2013
33,-191.1812485369819,"[0.9319347469517582, 0.1753644807872249, 3.95533435899804]",0,2013,number_of_hired_workers___policy,"[60, 288, 63]",421,2015
34,449.4459791149767,"[0.8344315719154713, 0.45640103473395255, 0.2577244171772902]",1,2011,number_of_hired_workers___policy,"[30, 188, 40]",576,2013
35,53.982329195246905,"[6.694278589098772, -1.1723847257573166, 12.95919928953725]",1,2013,number_of_hired_workers___policy,"[30, 363, 57]",454,2015
36,177.40290432554372,"[-1.4723560971672074, -4.975447232054811, 1.7338626573996427]",2,2011,number_of_hired_workers___policy,"[24, 71, 38]",369,2013
37,-63.99470605519511,"[1.4664619163945338, -1.5186200325132395, 7.95186443240602]",2,2013,number_of_hired_workers___policy,"[33, 388, 101]",526,2015
38,190.67473044754868,"[0.928569255833211, -14.55345648835195, 2.0727124665773915]",3,2011,number_of_hired_workers___policy,"[84, 8, 83]",178,2013
39,-822.9622964571834,"[1.2590714583990665, 0.2573917010805376, 0.808545761789668]",3,2013,number_of_hired_workers___policy,"[113, 9, 118]",240,2015
40,142.1669772290002,"[2.9119140104614, 0.9195348725389075, -1.032763090375037]",0,2011,prevent_damage___policy,"[52, 261, 59]",377,2013
41,-191.1812485369819,"[5.194549115175199, 0.5954188076339175, -0.294548854917478]",0,2013,prevent_damage___policy,"[50, 304, 67]",421,2015
42,449.4459791149767,"[1.3660297877313399, 0.9957505913978077, 0.5330473111011987]",1,2011,prevent_damage___policy,"[151, 290, 125]",576,2013
43,53.982329195246905,"[2.504144880616468, 0.7952605908769177, 0.09939686559052363]",1,2013,prevent_damage___policy,"[100, 242, 112]",454,2015
44,177.40290432554372,"[3.283203748966856, -0.5634712588751044, 0.5079826109096269]",2,2011,prevent_damage___policy,"[120, 142, 106]",369,2013
45,-63.99470605519511,"[2.563152983209837, -3.7549277575148117, 4.914934595295412]",2,2013,prevent_damage___policy,"[142, 199, 185]",526,2015
46,190.67473044754868,"[4.874351282648541, -2.7051946965422116, 1.1158408948478191]",3,2011,prevent_damage___policy,"[68, 72, 37]",178,2013
47,-822.9622964571834,"[1.5457716612643766, 0.6317544926384434, 0.9083098431511711]",3,2013,prevent_damage___policy,"[74, 91, 75]",240,2015
48,142.1669772290002,"[2.233566167383615, 1.22009550184441, -0.49906608155985954]",0,2011,crop_diversification___policy,"[131, 92, 149]",377,2013
49,-191.1812485369819,"[1.3665863231619961, 0.18828202412025943, 1.2117108964674723]",0,2013,crop_diversification___policy,"[158, 111, 152]",421,2015
50,449.4459791149767,"[0.5848277061571364, 1.7873080391668827, 0.5231408610205341]",1,2011,crop_diversification___policy,"[186, 201, 179]",576,2013
51,53.982329195246905,"[-1.3783218686497665, -0.9118960017736885, 5.540742174104145]",1,2013,crop_diversification___policy,"[145, 164, 145]",454,2015
52,177.40290432554372,"[-0.6441493342551136, 4.907282477707001, -0.949629391360935]",2,2011,crop_diversification___policy,"[124, 116, 128]",369,2013
53,-63.99470605519511,"[-1.5234964985962611, 4.498851896813593, -0.07373605974003998]",2,2013,crop_diversification___policy,"[175, 179, 172]",526,2015
54,190.67473044754868,"[-1.5965705422786298, 7.054542830294732, -3.649391711255642]",3,2011,crop_diversification___policy,"[52, 67, 58]",178,2013
55,-822.9622964571834,"[-0.42645537239095754, 2.383337909018111, 1.031528577666213]",3,2013,crop_diversification___policy,"[84, 85, 71]",240,2015
56,142.1669772290002,"[0.479444110336239, 1.4290630730081084, 0.4565493392518796]",0,2011,number_of_sickle_owned___policy,"[71, 209, 97]",377,2013
57,-191.1812485369819,"[0.17651344769618893, 1.2912040479335103, 1.1020967936111108]",0,2013,number_of_sickle_owned___policy,"[92, 223, 106]",421,2015
58,449.4459791149767,"[0.9758930912235498, 1.4864280934698317, 0.2289259712354553]",1,2011,number_of_sickle_owned___policy,"[135, 273, 168]",576,2013
59,53.982329195246905,"[-2.3245896369150096, 3.2366928762181137, 1.3712272999983326]",1,2013,number_of_sickle_owned___policy,"[141, 189, 124]",454,2015
60,177.40290432554372,"[2.5949295807367756, 0.20263918155757604, 0.6942729356524882]",2,2011,number_of_sickle_owned___policy,"[101, 161, 107]",369,2013
61,-63.99470605519511,"[2.3959606847706807, 0.5194981232356528, -0.08138112988153627]",2,2013,number_of_sickle_owned___policy,"[176, 221, 129]",526,2015
62,190.67473044754868,"[1.2818979240134813, 2.1345786320082265, -1.0228002408097425]",3,2011,number_of_sickle_owned___policy,"[48, 79, 51]",178,2013
63,-822.9622964571834,"[1.6165940360226014, 0.378046479827113, 0.8313043820170536]",3,2013,number_of_sickle_owned___policy,"[96, 77, 67]",240,2015
64,142.1669772290002,"[2.438543440867868, 0.7841683846008347, 2.220841407189684]",0,2011,uses_credit___policy,"[24, 324, 29]",377,2013
65,-191.1812485369819,"[-0.6416383258246416, 1.2269379562502232, -0.5289395074819377]",0,2013,uses_credit___policy,"[22, 368, 31]",421,2015
66,449.4459791149767,"[0.7180854877907319, 0.9199952637513564, 1.8347286923630794]",1,2011,uses_credit___policy,"[66, 444, 59]",576,2013
67,53.982329195246905,"[-7.062979885347346, 2.0682535697463447, 1.1221663108406397]",1,2013,uses_credit___policy,"[47, 348, 59]",454,2015
68,177.40290432554372,"[3.6433416995444, 0.8062620319043041, -1.965444593352141]",2,2011,uses_credit___policy,"[76, 241, 52]",369,2013
69,-63.99470605519511,"[0.8943507862314266, 1.2766601280416534, -0.33407253459855785]",2,2013,uses_credit___policy,"[111, 351, 64]",526,2015
70,190.67473044754868,"[0.12681037613800342, 0.5980957176392377, 5.279410522125298]",3,2011,uses_credit___policy,"[27, 133, 18]",178,2013
71,-822.9622964571834,"[3.00311645965515, 0.4297925474729654, 1.0145206740921338]",3,2013,uses_credit___policy,"[45, 159, 36]",240,2015
72,142.1669772290002,"[-1.8434117945987252, 0.6853647131045097, 3.0437063074557416]",0,2011,uses_irrigation___policy,"[14, 336, 13]",377,2013
73,-191.1812485369819,"[6.114565442431156, 0.9516422827249098, -4.861274630192474]",0,2013,uses_irrigation___policy,"[16, 378, 21]",421,2015
74,449.4459791149767,"[0.20248331863006744, 1.2790485796926685, -1.496615368448967]",1,2011,uses_irrigation___policy,"[56, 458, 46]",576,2013
75,53.982329195246905,"[11.908128871015784, -3.3119096896844376, 31.42840033170697]",1,2013,uses_irrigation___policy,"[31, 379, 39]",454,2015
76,177.40290432554372,"[9.131975798932302, 0.7734975612800435, -2.354816462034328]",2,2011,uses_irrigation___policy,"[22, 288, 42]",369,2013
77,-63.99470605519511,"[-3.0314598032628393, 2.040118547519487, -5.27943110605542]",2,2013,uses_irrigation___policy,"[53, 391, 77]",526,2015
78,190.67473044754868,"[-6.366038128481891, 2.163608863814723, -15.267155790672694]",3,2011,uses_irrigation___policy,"[9, 155, 9]",178,2013
79,-822.9622964571834,"[0.6931350862566152, 1.2435505084518748, -1.6992042283063356]",3,2013,uses_irrigation___policy,"[26, 199, 15]",240,2015
80,142.1669772290002,"[0.7488503344507371, 0.7025522773228275, 19.299588071282663]",0,2011,number_of_water_storage_pit_owned___policy,"[12, 359, 6]",377,2013
81,-191.1812485369819,"[3.073488552681519, 0.8160867362147828, 3.0047242256050257]",0,2013,number_of_water_storage_pit_owned___policy,"[12, 386, 23]",421,2015
82,449.4459791149767,"[4.285700137412476, 0.8189589655507417, 2.819768255680328]",1,2011,number_of_water_storage_pit_owned___policy,"[22, 540, 14]",576,2013
83,53.982329195246905,"[-3.2292202578444225, 0.9845187074769217, 2.6819528128122765]",1,2013,number_of_water_storage_pit_owned___policy,"[8, 422, 24]",454,2015
84,177.40290432554372,"[10.332553603559825, 0.6272003751325905, 3.1379445011440334]",2,2011,number_of_water_storage_pit_owned___policy,"[9, 340, 20]",369,2013
85,-63.99470605519511,"[-33.146025259506466, 2.0398406788893197, 1.548348165559948]",2,2013,number_of_water_storage_pit_owned___policy,"[15, 472, 39]",526,2015
86,190.67473044754868,"[15.0463095286356, 0.9470907999118502, -19.93860082080391]",3,2011,number_of_water_storage_pit_owned___policy,"[14, 155, 9]",178,2013
87,-822.9622964571834,"[-3.7212874469311195, 1.3811014140028246, -0.42765674575453755]",3,2013,number_of_water_storage_pit_owned___policy,"[8, 204, 28]",240,2015
88,142.1669772290002,"[0.545879912090788, -4.606501318914755, 1.0253756921557935]",0,2011,quantity_of_chemical_fertilizers_used___policy,"[51, 30, 59]",377,2013
89,-191.1812485369819,"[1.382725276989191, 0.8085707030484347, 1.3738741875271288]",0,2013,quantity_of_chemical_fertilizers_used___policy,"[36, 279, 106]",421,2015
90,449.4459791149767,"[0.2941419142415845, 1.2030924451551517, 0.48189585778716]",1,2011,quantity_of_chemical_fertilizers_used___policy,"[95, 47, 98]",576,2013
91,53.982329195246905,"[-1.7261868944366396, -1.8549345447668413, 6.434996021332627]",1,2013,quantity_of_chemical_fertilizers_used___policy,"[87, 212, 155]",454,2015
92,177.40290432554372,"[-2.6444460183854575, 9.261147441228857, 2.794186572763936]",2,2011,quantity_of_chemical_fertilizers_used___policy,"[149, 27, 158]",369,2013
93,-63.99470605519511,"[6.174193865780169, 3.230869629219631, -3.7472911744893604]",2,2013,quantity_of_chemical_fertilizers_used___policy,"[213, 55, 258]",526,2015
94,190.67473044754868,"[1.8324018513301294, 9.778875956234648, 0.528700898219137]",3,2011,quantity_of_chemical_fertilizers_used___policy,"[59, 14, 55]",178,2013
95,-822.9622964571834,"[1.110300375330669, 2.990463887213604, -0.0757006462855732]",3,2013,quantity_of_chemical_fertilizers_used___policy,"[91, 49, 100]",240,2015
96,142.1669772290002,"[-0.22444124347569663, 1.3635102760510878, 0.9284448291797012]",0,2011,number_of_pick_axe_owned___policy,"[60, 221, 96]",377,2013
97,-191.1812485369819,"[2.000730343872798, 0.12515111080250993, 1.629456602303415]",0,2013,number_of_pick_axe_owned___policy,"[129, 208, 84]",421,2015
98,449.4459791149767,"[1.1743836517347375, 1.1465254174437833, 0.5128856521630245]",1,2011,number_of_pick_axe_owned___policy,"[132, 305, 139]",576,2013
99,53.982329195246905,"[-1.7948162201018318, -1.6123528615838427, 8.111149089053313]",1,2013,number_of_pick_axe_owned___policy,"[108, 222, 124]",454,2015
100,177.40290432554372,"[0.38721974521341923, 1.1068645297622715, 1.2574514009092606]",2,2011,number_of_pick_axe_owned___policy,"[73, 209, 87]",369,2013
101,-63.99470605519511,"[2.0632077562032265, 0.7034475982357632, 0.3353041276366941]",2,2013,number_of_pick_axe_owned___policy,"[138, 302, 86]",526,2015
102,190.67473044754868,"[-0.0633918330802425, 4.03844978347094, -3.554568382073353]",3,2011,number_of_pick_axe_owned___policy,"[43, 87, 48]",178,2013
103,-822.9622964571834,"[0.8904474507252483, 0.8878044923206277, 1.3059359839387288]",3,2013,number_of_pick_axe_owned___policy,"[63, 113, 64]",240,2015
104,142.1669772290002,"[4.207179684250561, 0.26794475071072277, 3.133015431929663]",0,2011,uses_extension_program___policy,"[19, 286, 70]",377,2013
105,-191.1812485369819,"[0.25838516367483205, 1.1970954497119104, 0.1860390124228778]",0,2013,uses_extension_program___policy,"[13, 338, 70]",421,2015
106,449.4459791149767,"[0.5529146608221411, 0.6733665353191015, 1.7970557894546095]",1,2011,uses_extension_program___policy,"[4, 403, 162]",576,2013
107,53.982329195246905,"[nan, 1.6436544958723003, -0.07528162839843178]",1,2013,uses_extension_program___policy,"[0, 284, 170]",454,2015
108,177.40290432554372,"[0.6573110565475728, 1.1813394551629992, -3.2325579161610833]",2,2011,uses_extension_program___policy,"[94, 271, 4]",369,2013
109,-63.99470605519511,"[3.2162015213996447, 0.03844138218464656, 6.855678032477982]",2,2013,uses_extension_program___policy,"[142, 376, 8]",526,2015
110,190.67473044754868,"[3.128070387156309, -1.4640468800777386, 4.276992745598774]",3,2011,uses_extension_program___policy,"[29, 92, 55]",178,2013
111,-822.9622964571834,"[1.99346695676824, 0.895280503484076, 0.29827135950037104]",3,2013,uses_extension_program___policy,"[43, 160, 37]",240,2015
112,142.1669772290002,"[2.9466803365521272, -4.50598403499739, 0.30955536724675325]",0,2011,percentage_of_damaged_crop___policy,"[162, 44, 166]",377,2013
113,-191.1812485369819,"[1.2619067605446639, nan, 0.797987645783301]",0,2013,percentage_of_damaged_crop___policy,"[210, 0, 210]",421,2015
114,449.4459791149767,"[0.54552898821325, 2.8357276121843307, 1.4463331598101155]",1,2011,percentage_of_damaged_crop___policy,"[282, 1, 282]",576,2013
115,53.982329195246905,"[1.9059938938907623, nan, 0.09400610610923626]",1,2013,percentage_of_damaged_crop___policy,"[227, 0, 227]",454,2015
116,177.40290432554372,"[1.794077302325696, 3.351739518707349, -0.44974488607045127]",2,2011,percentage_of_damaged_crop___policy,"[175, 37, 156]",369,2013
117,-63.99470605519511,"[-1.3797834661632356, -199.3790905040645, 4.782738453125062]",2,2013,percentage_of_damaged_crop___policy,"[261, 2, 262]",526,2015
118,190.67473044754868,"[-0.8714804987131902, -3.556501153372197, 5.4760613319565135]",3,2011,percentage_of_damaged_crop___policy,"[81, 29, 66]",178,2013
119,-822.9622964571834,"[1.896524017271859, nan, 0.10347598272814165]",3,2013,percentage_of_damaged_crop___policy,"[120, 0, 120]",240,2015
120,142.1669772290002,"[1.8255386065294803, 0.4082679213023849, 2.3044768823886685]",0,2011,has_borrowed___policy,"[52, 253, 68]",377,2013
121,-191.1812485369819,"[1.911880185585712, 0.9978373887787225, -0.17885813246719595]",0,2013,has_borrowed___policy,"[64, 307, 49]",421,2015
122,449.4459791149767,"[0.8737863912546161, 1.0060681448886792, 1.0882929496044522]",1,2011,has_borrowed___policy,"[76, 396, 101]",576,2013
123,53.982329195246905,"[-4.688935260691064, 2.244297977243341, 2.5397533735408278]",1,2013,has_borrowed___policy,"[83, 324, 46]",454,2015
124,177.40290432554372,"[6.852261658409664, 0.577686116427243, -0.9965235149057878]",2,2011,has_borrowed___policy,"[44, 247, 76]",369,2013
125,-63.99470605519511,"[3.3385446586359104, 0.7586843761224281, -1.8970139909371238]",2,2013,has_borrowed___policy,"[112, 345, 68]",526,2015
126,190.67473044754868,"[-1.2087038561337644, 0.5217760848532992, 4.829531103433139]",3,2011,has_borrowed___policy,"[23, 126, 29]",178,2013
127,-822.9622964571834,"[2.694723963940401, 0.2724144730756815, 2.2371353356809065]",3,2013,has_borrowed___policy,"[51, 163, 26]",240,2015
128,142.1669772290002,"[0.6357726442013195, 0.9416645726911865, 1.8998186523932639]",0,2011,illness_of_household_member___policy,"[44, 296, 37]",377,2013
129,-191.1812485369819,"[-0.5696149536021545, 1.375153881667042, 0.32631394789921414]",0,2013,illness_of_household_member___policy,"[44, 308, 69]",421,2015
130,449.4459791149767,"[1.0875839324443697, 1.0483728833876933, 0.35987593173255994]",1,2011,illness_of_household_member___policy,"[62, 470, 44]",576,2013
131,53.982329195246905,"[-3.134108856741151, 0.050403731963744494, 6.938134926186123]",1,2013,illness_of_household_member___policy,"[29, 349, 76]",454,2015
132,177.40290432554372,"[1.410845071723722, 0.7868043319234943, 2.6141853226501586]",2,2011,illness_of_household_member___policy,"[47, 295, 27]",369,2013
133,-63.99470605519511,"[1.3346831897431377, 0.16370842793775414, 4.630189978307387]",2,2013,illness_of_household_member___policy,"[40, 398, 88]",526,2015
134,190.67473044754868,"[-0.030159666901602676, 2.3312430501240677, -9.845356978575488]",3,2011,illness_of_household_member___policy,"[23, 140, 15]",178,2013
135,-822.9622964571834,"[-0.6944419102298732, 1.2246422139817301, 0.9080523361405376]",3,2013,illness_of_household_member___policy,"[21, 176, 43]",240,2015
136,142.1669772290002,"[2.2192747064691374, 0.2879492010623011, 8.087106278588463]",0,2011,increase_in_price_of_inputs___policy,"[34, 317, 26]",377,2013
137,-191.1812485369819,"[2.7968871979537995, 1.3779101552285804, -3.6839502423307393]",0,2013,increase_in_price_of_inputs___policy,"[27, 355, 39]",421,2015
138,449.4459791149767,"[-0.2968090372734477, 1.070834960874391, 2.2515764488972456]",1,2011,increase_in_price_of_inputs___policy,"[73, 453, 50]",576,2013
139,53.982329195246905,"[1.9405021323351304, 0.41347057808458687, 3.9372871253279147]",1,2013,increase_in_price_of_inputs___policy,"[29, 362, 63]",454,2015
140,177.40290432554372,"[1.4944856726428821, 0.4541803914006822, 5.282781218292351]",2,2011,increase_in_price_of_inputs___policy,"[59, 281, 29]",369,2013
141,-63.99470605519511,"[-0.8498235950527662, 2.7113034472647795, -3.4267518165126933]",2,2013,increase_in_price_of_inputs___policy,"[58, 355, 113]",526,2015
142,190.67473044754868,"[0.638657779294341, 1.5526050395137267, -10.271608164963196]",3,2011,increase_in_price_of_inputs___policy,"[30, 142, 6]",178,2013
143,-822.9622964571834,"[-2.692467955649687, 1.8246396680621342, -0.3862561604051015]",3,2013,increase_in_price_of_inputs___policy,"[12, 163, 65]",240,2015
144,142.1669772290002,"[6.316875547837736, 0.38777983507309977, 3.677678099006424]",0,2011,number_of_oxen_owned___policy,"[20, 280, 29]",377,2013
145,-191.1812485369819,"[-4.319647950614439, 1.2412601757446908, 0.6806872086869512]",0,2013,number_of_oxen_owned___policy,"[10, 358, 50]",421,2015
146,449.4459791149767,"[1.3401222134004758, 1.2189039880801975, 0.09654665600727526]",1,2011,number_of_oxen_owned___policy,"[136, 293, 110]",576,2013
147,53.982329195246905,"[-3.755016557956912, 5.035039405649, -5.049684695899594]",1,2013,number_of_oxen_owned___policy,"[101, 226, 122]",454,2015
148,177.40290432554372,"[3.337430086454028, 0.6605726610671863, -0.6737461434219728]",2,2011,number_of_oxen_owned___policy,"[81, 199, 63]",369,2013
149,-63.99470605519511,"[7.20824200539445, -1.8375176913976055, 1.648442249969393]",2,2013,number_of_oxen_owned___policy,"[121, 284, 115]",526,2015
150,190.67473044754868,"[-4.90802960092987, 2.6436409009586836, 2.3931105069162797]",3,2011,number_of_oxen_owned___policy,"[42, 94, 31]",178,2013
151,-822.9622964571834,"[2.130208456314255, 0.8362715604652509, -0.13887672603694148]",3,2013,number_of_oxen_owned___policy,"[42, 140, 55]",240,2015
152,142.1669772290002,"[-0.2190227833375038, 1.5618196046021362, 0.3084335270743422]",0,2011,number_of_axe_owned___policy,"[57, 232, 88]",377,2013
153,-191.1812485369819,"[1.6850621100087062, 1.0446304150562875, 0.11124846791524906]",0,2013,number_of_axe_owned___policy,"[96, 239, 86]",421,2015
154,449.4459791149767,"[2.2225111787182095, 0.8721586314930144, 0.082822226073371]",1,2011,number_of_axe_owned___policy,"[120, 344, 112]",576,2013
155,53.982329195246905,"[-2.787045074701962, 3.980989629815974, -3.3371127141816403]",1,2013,number_of_axe_owned___policy,"[94, 262, 98]",454,2015
156,177.40290432554372,"[1.7073495509080339, 0.4492033505073417, 2.774011175697994]",2,2011,number_of_axe_owned___policy,"[71, 249, 49]",369,2013
157,-63.99470605519511,"[3.8457679492603205, 0.22882331858991053, 1.3094112730589758]",2,2013,number_of_axe_owned___policy,"[76, 329, 121]",526,2015
158,190.67473044754868,"[-2.783068599326633, 0.7723599167061515, 6.094366535965276]",3,2011,number_of_axe_owned___policy,"[38, 107, 33]",178,2013
159,-822.9622964571834,"[0.7938429404586607, -0.29733672006566264, 4.037252759452936]",3,2013,number_of_axe_owned___policy,"[47, 133, 60]",240,2015
160,142.1669772290002,"[3.5045338262925023, 0.4235576697614749, 1.9653703198882726]",0,2011,number_of_plough_owned___policy,"[29, 265, 83]",377,2013
161,-191.1812485369819,"[0.8034847526411669, 1.0697929264178585, 0.8330727851846664]",0,2013,number_of_plough_owned___policy,"[33, 301, 87]",421,2015
162,449.4459791149767,"[0.5427289572459463, 1.18888229833472, 0.8667771233645413]",1,2011,number_of_plough_owned___policy,"[127, 366, 83]",576,2013
163,53.982329195246905,"[4.9488792308173, -1.344584052081828, 3.0867211435525777]",1,2013,number_of_plough_owned___policy,"[129, 268, 57]",454,2015
164,177.40290432554372,"[2.327856842251674, -0.29896748368154247, 4.440435198208518]",2,2011,number_of_plough_owned___policy,"[67, 238, 64]",369,2013
165,-63.99470605519511,"[2.4865093344263816, 1.091462272337759, -1.3250084625693226]",2,2013,number_of_plough_owned___policy,"[137, 290, 99]",526,2015
166,190.67473044754868,"[-3.956438729712409, 2.47358649543615, 2.7239949879717926]",3,2011,number_of_plough_owned___policy,"[42, 105, 31]",178,2013
167,-822.9622964571834,"[0.7577787473519164, 0.9306057668116696, 1.4768914069744117]",3,2013,number_of_plough_owned___policy,"[68, 120, 52]",240,2015
