,average_change_in_output,binned_conditional_lift_ratios,cluster #,from,input,num_hh_in_bins,num_hh_in_cluster,to
0,142.1669772290002,"[1.356703865754509, 0.5243244990240153, 1.7831600696895638]",0,2011,quantity_of_improved_seeds_used___policy,"[19, 300, 32]",377,2013
1,-191.1812485369819,"[-0.147972426673745, 0.8517003747326082, 0.2578947451390594]",0,2013,quantity_of_improved_seeds_used___policy,"[15, 286, 40]",421,2015
2,449.4459791149767,"[1.4209979767373522, 0.9309918140124825, 1.7369611976963224]",1,2011,quantity_of_improved_seeds_used___policy,"[30, 475, 56]",576,2013
3,53.982329195246905,"[-10.188799758024457, 2.1893943073046804, -1.6645716819618215]",1,2013,quantity_of_improved_seeds_used___policy,"[15, 383, 46]",454,2015
4,177.40290432554372,"[1.5694404680170588, 2.5518712546419584, -2.5586998733213133]",2,2011,quantity_of_improved_seeds_used___policy,"[96, 180, 92]",369,2013
5,-63.99470605519511,"[-1.0705033066298104, -0.673860840791025, 5.913108789276502]",2,2013,quantity_of_improved_seeds_used___policy,"[137, 259, 127]",526,2015
6,190.67473044754868,"[0.5251537413616181, 3.809723279278324, -7.274912249366841]",3,2011,quantity_of_improved_seeds_used___policy,"[33, 109, 35]",178,2013
7,-822.9622964571834,"[-0.47945417775219124, 2.516276502886073, -0.8896859188825431]",3,2013,quantity_of_improved_seeds_used___policy,"[59, 114, 62]",240,2015
8,142.1669772290002,"[0.9570958014986685, 0.2543563773141572, 5.465201768310489]",0,2011,price_rise_of_food_item___policy,"[96, 240, 41]",377,2013
9,-191.1812485369819,"[1.5448434444572525, 1.6870218381047275, -3.366198599781012]",0,2013,price_rise_of_food_item___policy,"[44, 321, 56]",421,2015
10,449.4459791149767,"[-0.3576537045346499, 1.1930056366995063, 2.258951311350488]",1,2011,price_rise_of_food_item___policy,"[115, 398, 63]",576,2013
11,53.982329195246905,"[3.8281205651264436, -0.1606228893923317, 5.090445979394557]",1,2013,price_rise_of_food_item___policy,"[36, 345, 73]",454,2015
12,177.40290432554372,"[2.497333908346772, 0.8139448585795092, 1.2385416814309966]",2,2011,price_rise_of_food_item___policy,"[37, 317, 15]",369,2013
13,-63.99470605519511,"[-3.548008372270352, 2.047973677954618, -3.5976208930086147]",2,2013,price_rise_of_food_item___policy,"[41, 428, 57]",526,2015
14,190.67473044754868,"[3.5233904288560174, 0.27838826789532295, 1.5625898174269588]",3,2011,price_rise_of_food_item___policy,"[38, 136, 4]",178,2013
15,-822.9622964571834,"[-0.5941415282716763, 1.5175512044719324, -2.037461269522128]",3,2013,price_rise_of_food_item___policy,"[10, 201, 29]",240,2015
