,average_change_in_output,binned_conditional_lift_ratios,cluster #,from,input,num_hh_in_bins,num_hh_in_cluster,to
0,142.166977229,"[2.667777714631726, 0.8884632054412177, 0.632902747567307, 0.882006261974648]",0,2011,quantity_of_improved_seeds_used___policy,"[5, 14, 315, 17]",377,2013
1,-191.181248536982,"[1.6312051704032833, -0.592766825943002, 0.826610008458461, -0.9036973002493046]",0,2013,quantity_of_improved_seeds_used___policy,"[3, 12, 317, 9]",421,2015
2,449.445979114977,"[2.2085218021104542, 1.1813168124933648, 0.972175003188061, 2.3407639463682286]",1,2011,quantity_of_improved_seeds_used___policy,"[7, 23, 514, 17]",576,2013
3,53.9823291952469,"[4.528750387814227, -23.066656135633302, 1.8948044086640572, -1.7411505191524361]",1,2013,quantity_of_improved_seeds_used___policy,"[7, 8, 415, 14]",454,2015
4,177.402904325544,"[14.501878760327772, -1.2134892910877761, 0.7878593176030684, 1.8588263289316171]",2,2011,quantity_of_improved_seeds_used___policy,"[17, 79, 263, 9]",369,2013
5,-63.9947060551951,"[5.718282922626241, -1.6050534034216255, -0.06584874204107172, 27.291081844372325]",2,2013,quantity_of_improved_seeds_used___policy,"[10, 127, 364, 22]",526,2015
6,190.674730447549,"[14.378153867452104, -3.2045001387396663, 0.5970245798117352, 37.93020919011558]",3,2011,quantity_of_improved_seeds_used___policy,"[7, 26, 142, 2]",178,2013
7,-822.962296457183,"[0.6892715473454061, -0.5876695226686358, 1.2473620533821774, 2.7672711737611237]",3,2013,quantity_of_improved_seeds_used___policy,"[5, 54, 168, 8]",240,2015
8,142.166977229,"[1.5607173562828898, 0.5949228686281364, 0.42821227160560277, 9.583276423547469]",0,2011,price_rise_of_food_item___policy,"[36, 60, 263, 18]",377,2013
9,-191.181248536982,"[2.604375895837666, 1.272392242673717, 1.2401458591323398, -6.393727504135077]",0,2013,price_rise_of_food_item___policy,"[9, 35, 362, 15]",421,2015
10,449.445979114977,"[0.5263112417251783, -0.7287007190140837, 1.2621808238344858, 2.299381301298794]",1,2011,price_rise_of_food_item___policy,"[34, 81, 427, 34]",576,2013
11,53.9823291952469,"[26.072698934009722, -7.2941686193152, 0.853059790080453, -0.9829098734732516]",1,2013,price_rise_of_food_item___policy,"[12, 24, 396, 22]",454,2015
12,177.402904325544,"[2.497333908346772, nan, 0.8139448585795092, 1.2385416814309966]",2,2011,price_rise_of_food_item___policy,"[37, 0, 317, 15]",369,2013
13,-63.9947060551951,"[-3.548008372270352, nan, 2.047973677954618, -3.5976208930086147]",2,2013,price_rise_of_food_item___policy,"[41, 0, 428, 57]",526,2015
14,190.674730447549,"[5.958305955147602, 2.103023038519259, 0.40207669563659865, -5.687710147189432]",3,2011,price_rise_of_food_item___policy,"[14, 24, 138, 2]",178,2013
15,-822.962296457183,"[-0.5941415282716763, nan, 1.5175512044719324, -2.037461269522128]",3,2013,price_rise_of_food_item___policy,"[10, 0, 201, 29]",240,2015
16,142.166977229,"[1.533119386266341, 21.80548147511278, 1.7418902379365158, 0.07811671427636989]",0,2011,owns_land_certificate___policy,"[24, 3, 276, 45]",377,2013
17,-191.181248536982,"[2.768786480318281, 4.039605758865685, 1.0990776090636825, 0.8277053693923987]",0,2013,owns_land_certificate___policy,"[26, 2, 326, 55]",421,2015
18,449.445979114977,"[0.25107251528943875, 0.08292960243503023, 1.1076575357412146, -0.053096288043931364]",1,2011,owns_land_certificate___policy,"[30, 17, 413, 62]",576,2013
19,53.9823291952469,"[9.172997438741966, 26.452549839236518, 1.627874233771734, -5.941829548777623]",1,2013,owns_land_certificate___policy,"[25, 22, 321, 73]",454,2015
20,177.402904325544,"[2.425721553823082, 2.855077305105878, 1.5717477859589566, 0.2938036080258546]",2,2011,owns_land_certificate___policy,"[26, 21, 258, 39]",369,2013
21,-63.9947060551951,"[10.938511288789433, 4.9730209192431785, -3.504124991431312, 18.173169577588343]",2,2013,owns_land_certificate___policy,"[45, 34, 373, 67]",526,2015
22,190.674730447549,"[3.1879185607346843, 4.329139306284615, -2.6188104303679807, 13.27606459211008]",3,2011,owns_land_certificate___policy,"[4, 9, 128, 22]",178,2013
23,-822.962296457183,"[5.625950699733015, -1.8271775424912744, 1.0490637291210239, 0.08868664295750099]",3,2013,owns_land_certificate___policy,"[16, 13, 173, 31]",240,2015
24,142.166977229,"[0.503333846707707, 1.199895076483218, 0.9566608331970385, 0.5259362932129847]",0,2011,amount_of_assistance_received___policy,"[3, 19, 349, 3]",377,2013
25,-191.181248536982,"[-3.753556424642281, 1.0362131585470002, 1.214110768613456, -0.9655436155716222]",0,2013,amount_of_assistance_received___policy,"[11, 28, 368, 14]",421,2015
26,449.445979114977,"[1.1249992921917147, 0.5149655319162183, 0.9150476379712142, 3.2401214757910073]",1,2011,amount_of_assistance_received___policy,"[3, 12, 532, 26]",576,2013
27,53.9823291952469,"[-10.154550664513694, 3.4434068471972616, 0.48845256476940496, 12.084295629924533]",1,2013,amount_of_assistance_received___policy,"[8, 25, 400, 21]",454,2015
28,177.402904325544,"[8.656443421222516, -0.2570887489513478, 0.7284930394027982, 2.8082865138463275]",2,2011,amount_of_assistance_received___policy,"[10, 2, 346, 11]",369,2013
29,-63.9947060551951,"[-32.461796695773955, -6.4635050022766425, 1.1925741895618995, 8.493728892464697]",2,2013,amount_of_assistance_received___policy,"[5, 17, 477, 27]",526,2015
30,190.674730447549,"[1.724260527508012, nan, 0.6629441557579456, 14.60061285277932]",3,2011,amount_of_assistance_received___policy,"[4, 0, 170, 4]",178,2013
31,-822.962296457183,"[1.3913664907205043, 2.6559078424709828, 0.8916876885726769, 2.0452607002313186]",3,2013,amount_of_assistance_received___policy,"[3, 8, 220, 9]",240,2015
32,142.166977229,"[7.470713725677084, -6.753987478357188, 1.8295435456098865, 1.727419827677941]",0,2011,number_of_hired_workers___policy,"[7, 27, 99, 13]",377,2013
33,-191.181248536982,"[-0.8206898066881765, 2.0214040640792854, 0.2156642248387683, 7.939557058121168]",0,2013,number_of_hired_workers___policy,"[23, 37, 322, 29]",421,2015
34,449.445979114977,"[nan, 0.8344315719154713, 0.5298277740782984, -0.7695596613310387]",1,2011,number_of_hired_workers___policy,"[0, 30, 209, 19]",576,2013
35,53.9823291952469,"[60.540828337363955, 4.83750101157239, -2.410712382081158, 40.35051034462213]",1,2013,number_of_hired_workers___policy,"[1, 29, 389, 31]",454,2015
36,177.402904325544,"[45.36484744908853, -3.50875625135224, -3.0006320273876668, -0.7951365556904095]",2,2011,number_of_hired_workers___policy,"[1, 23, 91, 18]",369,2013
37,-63.9947060551951,"[nan, 1.4664619163945338, 0.4260048301545257, 0.5695272176495911]",2,2013,number_of_hired_workers___policy,"[0, 33, 450, 39]",526,2015
38,190.674730447549,"[-2.556988876115597, 0.49104862578688707, -0.15218273359595502, 19.91351301119843]",3,2011,number_of_hired_workers___policy,"[22, 113, 33, 7]",178,2013
39,-822.962296457183,"[2.7081239935469816, 0.44906211316595257, 1.1591724758566924, 4.404192462392376]",3,2013,number_of_hired_workers___policy,"[28, 156, 47, 9]",240,2015
