beta,chosen feature,u_f,sc after f,sc before f
1000,uses_credit___policy___ethiopia_2015,137.356973864,0.134105914945,0
1000,has_saved___policy___ethiopia_2015,18.7627176727,0.127539515071,0.134105914945
1000,amount_of_assistance_received___policy___ethiopia_2015,28.5519434506,0.147677996523,0.127539515071
1000,has_borrowed___policy___ethiopia_2015,9.90314300635,0.132690760867,0.147677996523
1000,prevent_damage___policy___ethiopia_2015,37.674183941,0.170211807891,0.132690760867
10000,has_saved___policy___ethiopia_2015,1483.74293999,0.122941910901,0
10000,amount_of_assistance_received___policy___ethiopia_2015,270.085305792,0.128399675771,0.122941910901
10000,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,317.821185237,0.151785169598,0.128399675771
10000,uses_extension_program___policy___ethiopia_2015,93.7344747655,0.123757849793,0.151785169598
10000,owns_land_certificate___policy___ethiopia_2015,325.456981305,0.134883538038,0.123757849793
10000,number_of_plough_owned___policy___ethiopia_2015,279.357426107,0.133706226893,0.134883538038
10000,number_of_oxen_owned___policy___ethiopia_2015,341.869146826,0.133436265296,0.133706226893
10000,illness_of_household_member___policy___ethiopia_2015,910.388335092,0.1852596836,0.133436265296
10000,has_borrowed___policy___ethiopia_2015,483.757766964,0.204707298493,0.1852596836
10000,prevent_damage___policy___ethiopia_2015,552.541435463,0.259946128348,0.204707298493
10000,number_of_hired_workers___policy___ethiopia_2015,238.881117707,0.197509188431,0.259946128348
10000,quantity_of_improved_seeds_used___policy___ethiopia_2015,1209.94372226,0.318497485496,0.197509188431
10000,number_of_axe_owned___policy___ethiopia_2015,523.428937561,0.321113338028,0.318497485496
10000,number_of_pick_axe_owned___policy___ethiopia_2015,1532.94643049,0.441602553924,0.321113338028
10000,uses_credit___policy___ethiopia_2015,1812.96114121,0.616590600734,0.441602553924
10000,number_of_sickle_owned___policy___ethiopia_2015,751.683696483,0.641069038368,0.616590600734
10000,number_of_water_storage_pit_owned___policy___ethiopia_2015,3507.97810495,0.991858089616,0.641069038368
