y4_hhid,children_education___output___tanzania_2014,crop_sales___output___tanzania_2014,expenditure___output___tanzania_2014,has_medical___output___tanzania_2014,no_food_def___output___tanzania_2014,HH_shock___tanzania_2014,receive_assistance___policy___tanzania_2014,amt_assist_rec___policy___tanzania_2014,crop_diverse___policy___tanzania_2014,has_borrowed___policy___tanzania_2014,illness_hh_member___policy___tanzania_2014,has_hire_work___ethiopia___tanzania_2014,number_oxen_own___policy___tanzania_2014,number_of_plough___policy___tanzania_2014,owns_certificate___policy___tanzania_2014,post_damage___policy___tanzania_2014,quant_che_fert___policy___tanzania_2014,quant_pest___policy___tanzania_2014,soil_long___policy___tanzania_2014,soil_short___policy___tanzania_2014,uses_cred___policy___tanzania_2014,uses_irr___policy___tanzania_2014,atten_school___policy___tanzania_2014,dist_road___policy___tanzania_2014,dist_market___policy___tanzania_2014,has_work_fem___policy___tanzania_2014,household_h_age___tanzania_2014,HH_divorce___tanzania_2014,HH_male___tanzania_2014,HH_head_mono___tanzania_2014,HH_head_poly___tanzania_2014,HH_seperated___tanzania_2014,HH_widow___tanzania_2014,HH_nevermar___tanzania_2014,household_size___tanzania_2014,land_surface___tanzania_2014,literacy___tanzania_2014,has_bank_account___policy___tanzania_2014,has_savings___policy___tanzania_2014
1041,,,1665889.5,0,1,0,0,,1,,0,0,22,2,0,,0,0,1,,,,1,0,4,,69,0,1,0,0,0,1,0,1,0.16,0,1,0
1042,,,3961067.5,0,1,1,0,,0,1,0,0,,2,0,0,0,0,1,,1,,1,0,3,,29,0,1,1,0,0,0,0,2,0.09,0,1,1
1043,0.2222222,,20498904,0,1,1,0,,,,2,0,9,2,1,,0,0,2,,,,0.7777778,0,6,,37,0,1,1,0,0,0,0,9,0,0,1,1
1044,,,3404842.5,0,1,0,0,,,,0,,,,,,,,,,,,0.6666667,,,,40,0,1,0,0,0,0,0,3,0,0,0,0
1045,,,2527224,0,0,0,0,,,,1,,,,,,,,,,,,1,,,,50,0,1,1,0,0,0,0,1,0,0,0,0
1057,,,824116.25,0,1,0,0,,1,,0,1,55,2,,,0,0,1,,,,0.5,4,4,1,74,0,1,0,1,0,0,0,2,8.8,0,0,
1058,,780,3985726.5,0,1,1,0,,1,,1,1,5,2,0,,0,0,1,,,,0.6666667,5,10,1,25,0,1,1,0,0,0,0,6,0,0,0,1
1059,0.1,140,9098870,0,1,1,0,,8,,1,1,501,2,0,0,0,0,1.5,,,,0.6,0,7.5,1,50,0,1,0,1,0,0,0,10,89.59,0,0,0
1060,0.2,,2361995.5,0,0,0,0,,4,,0,1,90,2,0,,0,0,1,,,,0.4,0,5.65,1,48,0,1,0,1,0,0,0,5,10.56,0,0,
1061,,,2809971.75,0,0,1,1,10000,3,,0,0,100,2,,,0,0,2,,,,0.2857143,0,3,,98,0,1,0,0,0,1,0,7,59.09,0,0,
1062,,,8296699,0,1,0,0,,1,,1,1,74,2,0,,0,0,1,,,,0.1666667,0.25,10,1,58,0,1,0,1,0,0,0,6,4.4,0,0,
1063,0.1111111,180,6083346,0,1,1,0,,5,,2,1,104,2,0,,0,0,1.5,,,,0.2222222,0.5,2.166667,1,61,0,1,1,0,0,0,0,9,12.13,0,0,
1064,,,1298737.375,0,1,0,0,,2,,1,1,,2,,,0,0,1,,,,0,0,3,1,32,0,0,0,0,0,0,0,2,1.23,0,0,
1076,,,1100353.375,0,0,1,0,,0,,1,1,2,2,0,0,0,0,2,,,,0.6666667,4,4,1,39,0,1,1,0,0,0,0,3,0.27,0,0,0
1077,0.4,4800,3822956.25,0.2,0,1,0,,4,1,3,1,24,2,0,0,10,500,2,,1,,1,1.333333,4.666667,1,39,0,1,1,0,0,0,0,5,1.82,0,0,
1078,0.4,,4128483.5,0,0,1,0,,5,1,0,1,32,2,0,0,0,2,1.25,,1,,0.8,0,1.75,1,35,0,1,1,0,0,0,0,5,1.88,0,0,0
1079,0.4285714,150,6360391.5,0,1,1,0,,2,,2,1,49,2,0,,0,1,2,,,,0.8571429,0.35,1.15,1,47,0,1,1,0,0,0,0,7,1.96,0,0,0
1080,,,2198903,0,0,0,0,,0,,2,1,24,2,0,,0,0,1,,,,0.4,0,1,1,29,0,1,1,0,0,0,0,5,0.11,0,0,
1081,,,2841250,0,1,1,1,10000,0,,1,1,34,2,0,,0,0,1,,,,0.6666667,1,3,1,35,0,1,1,0,0,0,0,3,0.75,0,0,
1082,,,6461726,0,1,0,0,,0,,2,1,,2,0,,0,0,1,,,,0.6666667,1,3,1,60,0,0,0,0,0,1,0,3,1.59,0,0,
1083,,100,3090919,0,1,0,0,,0,,1,1,20,2,0,,0,0,2,,,,0.6666667,0,3,1,45,0,0,0,0,0,0,1,3,1.97,0,0,
1095,0.25,,2086348.125,0,0,0,0,,,1,0,,57,,,,,,,,1,,0.5,,,1,40,0,0,1,0,0,0,0,4,0,0,0,
1096,,,2692885,0,0,1,0,,,2,1,,68,,,,,,,,1,,0.4285714,,,1,55,0,1,1,0,0,0,0,7,0,0,0,1
1097,0.2222222,,675249.5,0,1,1,0,,,,0,,6,,,,,,,,,,0.3333333,,,1,31,0,0,1,0,0,0,0,9,0,0,0,
1098,,,934273.4375,0,0,0,0,,,,1,,17,,,,,,,,,,0,,,1,51,0,0,1,0,0,0,0,4,0,0,0,
1099,,,514990.9063,0,0,1,0,,,,0,,21,,,,,,,,,,0,,,1,19,0,0,1,0,0,0,0,2,0,0,0,
1100,,,5868971.5,0,0,0,0,,,,0,,14,,,,,,,,,,0.2,,,1,30,0,0,1,0,0,0,0,5,0,0,0,
1101,,,2600586.5,0,1,1,0,,,,1,,53,,,,,,,,,,0.3333333,,,1,30,0,1,0,1,0,0,0,3,0,0,0,
1102,,,566254.8125,0,0,0,0,,,,0,,24,,,,,,,,,,0,,,1,25,0,0,1,0,0,0,0,5,0,0,0,
