,HHID,children_education___output,crop_sales___output,expenditure___output,medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,damaged_crop___policy,has_borrowed___policy,has_hired_workers___policy,number_of_animals_owned___policy,number_of_bulls_owned___policy,number_of_cows_owned___policy,number_of_days_hired_workers___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,number_of_tools_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_improved_seeds___policy,quantity_of_pesticides_used___policy,uses_irrigation___policy,land_surface,household_size,attended_school,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_widowed,household_head_never_married,literacy,weight,rural_household
HHID,1.0,-0.0595138861298612,0.005418383385875735,-0.014912677822222947,-0.04598513952059329,-0.06662816045273777,-0.03970489294981301,-0.045623157030709696,-0.022120164613971458,0.0374249311972189,-0.06634237190990878,-0.0246587120480313,-0.01915212784071448,0.08516009302733692,0.06793743097868829,-0.020851905996171642,-0.08387832836183003,-0.24147765911697924,-0.05280801300104948,0.028216750705539757,-0.10402762588612056,-0.022245457305517524,-0.08427166006491281,-0.04720822735416785,-0.10935028636965849,-0.08984419365580208,-0.0783662827741836,0.029698245191940226,-0.006262477991428839,0.006262477991428839,-0.023190260246432892,0.027388712409567247,-0.08075850284982322,0.17910085279504342,0.059730234623655315
children_education___output,-0.0595138861298612,1.0,0.08588138990575404,0.23651524226086132,-0.007732807251559855,0.11447362573735151,0.1655783312825379,0.003371232318538291,-0.012338880942019419,0.05415097758412046,0.009010678125302311,-0.03846221992895218,-0.02050336012741075,0.03831976615428082,0.056439710706966184,-0.03683883037264211,0.1185814356565989,0.08673814116633145,0.12555867086079545,0.03736127930553606,0.08223525150438742,0.06282508132001995,0.044614274107593194,-0.06294810184924986,0.5718150640294211,0.1467995108332037,0.06952167751132235,-0.09392442982212232,0.060871634134273975,-0.060871634134273975,0.07285945582585443,0.018859049975185456,0.39484300050625865,0.06283171713661369,-0.1754323475277269
crop_sales___output,0.005418383385875735,0.08588138990575404,1.0,0.3033185083799724,-0.04882575699853382,0.1823006160988995,0.33465334152305737,-0.02460828663004655,-0.06817444376753362,0.18170233220833237,0.1161906975034608,0.02908220772447199,0.08357647844951197,0.14621648709178992,0.25662664296197724,0.062159031944525406,0.3444603945768074,0.12886722790664223,0.245480878361979,0.23175689099765168,0.2178719288342181,-0.006411472848880283,0.4354288395677967,0.17229472112977762,0.1422594179708341,-0.03593841436819166,-0.037800658812189185,0.15335930881564927,-0.043576416427216144,0.043576416427216144,-0.1272616663159914,-0.012667564041189492,0.17006060492854985,0.03739805220112676,0.014117108551404339
expenditure___output,-0.014912677822222947,0.23651524226086132,0.3033185083799724,1.0,-0.08451405385297331,0.2429934418566922,0.12269203449958674,0.06552273291985247,-0.05620613312409191,0.165152152492082,0.03545990453929496,-0.07262703688463555,-0.021827724230286307,0.09076951550954108,0.20180446861672816,-0.016414802222730757,0.14245324354310798,0.12471831337538705,0.16760498688361988,0.13090740788341015,0.10617427245372345,0.010870302638587341,0.1544553337511996,0.04599681108154832,0.251965016482684,-0.10069952509107875,-0.05417532896020648,0.08935792938943614,0.00043501853061380334,-0.00043501853061380334,-0.1168625802954171,0.05679894510689393,0.3015935227274039,-0.023951432709985978,-0.3298209712844562
medical_assistance___output,-0.04598513952059329,-0.007732807251559855,-0.04882575699853382,-0.08451405385297331,1.0,-0.14244207946430207,0.07535025873567221,0.0431553623802493,0.06925975327564601,0.05000772422740482,-0.061463830848449565,-0.0002681140524325459,-0.06551522615950013,0.022590264443209055,0.051659445282535355,-0.044013666366610076,-0.08104076924649832,0.03284608437145884,-0.05456319274376948,0.033913901652640355,0.08910142655997343,0.06275609810877718,-0.07018555685106916,-0.15192407289240095,-0.08161626991685403,-0.000716901451804567,0.04079801653109462,-0.07175929763980318,0.01962830483772043,-0.01962830483772043,0.07598494073066193,-0.011625636298511354,-0.1354890304810929,0.05114810313933339,0.04955304226660568
no_food_deficiency___output,-0.06662816045273777,0.11447362573735151,0.1823006160988995,0.2429934418566922,-0.14244207946430207,1.0,0.12024209415839611,-0.05608976789986362,-0.08248147572150515,0.10411343777840493,0.06905924013344288,-0.005748957726150294,0.035345792388351796,0.04313924754472499,0.11007620601064833,0.00328443977175002,0.1380098533240138,0.06115314998513518,0.11112044624823382,0.03894829277290724,0.030208291424553387,0.014175413612711112,0.10264731476135376,-0.06536680839363578,0.18213524532981676,-0.08779404415592017,0.002913621241630308,0.08377784217804252,0.007433857206019818,-0.007433857206019818,-0.09389352309869806,0.04440702304886414,0.22512535532084935,-0.022731625687943905,-0.1447271354460521
crop_diversification___policy,-0.03970489294981301,0.1655783312825379,0.33465334152305737,0.12269203449958674,0.07535025873567221,0.12024209415839611,1.0,-0.01647591412183379,0.012515089571930472,0.016575529554897085,0.017795281472351265,-0.04265452023370451,0.0363237628910762,-0.012496462175004715,0.04077689862635761,-0.10900683189046534,0.30641170112199007,0.1722551313126627,0.25803776416511254,0.2621299085354754,0.23261793283409143,0.14115406384585077,0.4292412062994873,0.1296566975839719,0.19263289549976564,0.06630241601698669,0.0023909907750639696,0.02576906014449518,0.008915437202583809,-0.008915437202583809,-0.004774262674466039,-0.02371692802735055,0.14527544118202207,0.17113952151486855,0.12599740144234473
damaged_crop___policy,-0.045623157030709696,0.003371232318538291,-0.02460828663004655,0.06552273291985247,0.0431553623802493,-0.05608976789986362,-0.01647591412183379,1.0,0.03264794169814328,0.007271298269551961,0.011778932806964201,0.031564272050109664,0.003600709806176275,0.0005537286449652812,-0.006737152673695465,0.043332985399096094,0.02682132612776081,0.06432410470391813,-0.0046933237459194435,0.018307659390305486,0.027576607780398367,-0.017266161340636077,0.06442039572277461,0.05704650536421749,0.01399761559122287,0.025648891932111263,-0.03974902043209461,0.050106398059280896,-0.0020759652174685453,0.0020759652174685453,-0.004065803769577223,0.0188622410348747,-0.02483447878574942,0.023723208192440094,-0.01719091318678849
has_borrowed___policy,-0.022120164613971458,-0.012338880942019419,-0.06817444376753362,-0.05620613312409191,0.06925975327564601,-0.08248147572150515,0.012515089571930472,0.03264794169814328,1.0,0.014541805208939974,-0.030762847950628593,-0.013049211640317903,-0.024990181219116153,-0.01773516137231196,-0.014075687308704567,-0.05042441981821089,-0.14822461355529687,-0.054154377466975046,0.05038647554908981,-0.03711154745810788,0.09083589509251061,0.07491607343473178,-0.09588593765438581,0.035627116432512214,-0.002522225378622904,-0.03635808449329979,0.013089499316931201,-0.06421575198482217,-0.04355689765718996,0.04355689765718996,0.017225755211096417,0.004937400591741027,-0.06875753372291205,-0.0081879800813038,0.027208662887475418
has_hired_workers___policy,0.0374249311972189,0.05415097758412046,0.18170233220833237,0.165152152492082,0.05000772422740482,0.10411343777840493,0.016575529554897085,0.007271298269551961,0.014541805208939974,1.0,0.14007479055852773,0.09785423034133256,0.10626074928075603,0.6676998216993216,0.9149841907186163,0.1363261392705768,0.14496371546930437,-0.03710850950441983,0.054488578836033044,0.10223163245249194,0.07817545930298149,0.03998374925959093,0.16432734077962755,-0.02953323331014435,0.07859350852482686,-0.028274224465851705,-0.01039276940357716,-0.034395843222113115,-0.09428921689599296,0.09428921689599296,-0.0285026975109568,0.03656957297213523,0.04191481258107858,-0.06010843929998272,-0.06282127731588728
