,HHID,children_education___output,crop_sales___output,expenditure___output,medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,damaged_crop___policy,has_borrowed___policy,has_hired_workers___policy,number_of_animals_owned___policy,number_of_bulls_owned___policy,number_of_cows_owned___policy,number_of_days_hired_workers___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,number_of_tools_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_improved_seeds___policy,quantity_of_pesticides_used___policy,uses_irrigation___policy,land_surface,household_size,attended_school,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_widowed,household_head_never_married,literacy,weight,rural_household
number_of_animals_owned___policy,-0.06634237190990878,0.009010678125302311,0.1161906975034608,0.03545990453929496,-0.061463830848449565,0.06905924013344288,0.017795281472351265,0.011778932806964201,-0.030762847950628593,0.14007479055852773,1.0,0.616892586439763,0.8797311748880371,0.1819915322455094,0.1940431973028179,0.3862712233393092,0.3171708552627032,0.020624563205352425,0.15431564087119476,0.14705948604778585,-0.009246520975751047,-0.04026501661873162,0.1823703267989209,0.23807513199235977,0.06776235014437208,0.14487208011877584,-0.08364247346973508,0.13153903344077664,-0.037291587507192754,0.037291587507192754,-0.06027351685538928,-0.06105047602954001,0.05677194104877798,-0.05925010902280398,0.04645545228623068
number_of_bulls_owned___policy,-0.0246587120480313,-0.03846221992895218,0.02908220772447199,-0.07262703688463555,-0.0002681140524325459,-0.005748957726150294,-0.04265452023370451,0.031564272050109664,-0.013049211640317903,0.09785423034133256,0.616892586439763,1.0,0.4839901484988139,0.1227605343296354,0.14902558903932278,0.3441112771750025,0.1911697608418417,-0.010319419131863544,-0.0064404432219417026,0.10108130419781797,-0.02659119110821161,-0.06503472636783136,0.10183089425500233,0.17644670504301732,-0.014998995714255047,0.10167681122022247,-0.06182437679216273,0.0741879805815756,-0.02232168996359694,0.02232168996359694,-0.016299534115505318,-0.05535324689353257,-0.020017769001182885,-0.035353510894306564,0.11491994503161718
number_of_cows_owned___policy,-0.01915212784071448,-0.02050336012741075,0.08357647844951197,-0.021827724230286307,-0.06551522615950013,0.035345792388351796,0.0363237628910762,0.003600709806176275,-0.024990181219116153,0.10626074928075603,0.8797311748880371,0.4839901484988139,1.0,0.14349241269752142,0.1455871779133547,0.24051779173598187,0.2723260319218763,0.02637823228341279,0.1496894571094685,0.0950994095560268,-0.024282825694548524,-0.03211398671367288,0.14895725362071918,0.23534211205963454,0.006395527368188574,0.16674768002930704,-0.08376700110961867,0.10018634893298259,-0.048314889585177996,0.048314889585177996,-0.0294905094992375,-0.08162139534476767,-0.007630079456446405,0.02013656818185498,0.13370169686406821
number_of_days_hired_workers___policy,0.08516009302733692,0.03831976615428082,0.14621648709178992,0.09076951550954108,0.022590264443209055,0.04313924754472499,-0.012496462175004715,0.0005537286449652812,-0.01773516137231196,0.6676998216993216,0.1819915322455094,0.1227605343296354,0.14349241269752142,1.0,0.7551254425288351,0.21338347835833377,0.14209269532284569,-0.11153769171485252,0.01469519820508259,0.12901466900892616,0.0019903494886592196,0.025880192823423208,0.1594926363437462,0.004996203602026928,0.034210748690655636,0.02570872712573059,-0.03685741197994006,-0.03517732190749046,-0.09211981873446373,0.09211981873446373,-0.012137047216009333,0.0107648016266928,-0.015135966301823836,-0.12426066607845886,0.006062734445655272
number_of_hired_workers___policy,0.06793743097868829,0.056439710706966184,0.25662664296197724,0.20180446861672816,0.051659445282535355,0.11007620601064833,0.04077689862635761,-0.006737152673695465,-0.014075687308704567,0.9149841907186163,0.1940431973028179,0.14902558903932278,0.1455871779133547,0.7551254425288351,1.0,0.16947187692590196,0.19464128125994226,-0.04298677207915685,0.08718508904452614,0.15904602280388241,0.09867017784516931,0.03891956268774904,0.21640722312178234,0.0119694341014567,0.08942997696707479,-0.00819565445427733,-0.03072737658556398,-0.007496448487428277,-0.08716056862219419,0.08716056862219419,-0.030407042510892015,0.023825705578762714,0.06235674380009504,-0.05816424485492517,-0.06681268751917427
number_of_ploughs_owned___policy,-0.020851905996171642,-0.03683883037264211,0.062159031944525406,-0.016414802222730757,-0.044013666366610076,0.00328443977175002,-0.10900683189046534,0.043332985399096094,-0.05042441981821089,0.1363261392705768,0.3862712233393092,0.3441112771750025,0.24051779173598187,0.21338347835833377,0.16947187692590196,1.0,0.22952777467895752,-0.02000305092400919,-0.07545094430810485,0.12825756151262513,-0.015552602772560997,-0.030581614883339665,0.13555942428119253,0.127812365449021,-0.012778694040214278,0.05541439150370471,-0.0309948666932595,0.06907313269442268,-0.0232772025984428,0.0232772025984428,-0.05714681412379444,-0.0025348370511619716,0.002051432253296166,-0.08777107755472066,0.057534474852292024
number_of_tools_owned___policy,-0.08387832836183003,0.1185814356565989,0.3444603945768074,0.14245324354310798,-0.08104076924649832,0.1380098533240138,0.30641170112199007,0.02682132612776081,-0.14822461355529687,0.14496371546930437,0.3171708552627032,0.1911697608418417,0.2723260319218763,0.14209269532284569,0.19464128125994226,0.22952777467895752,1.0,0.21846698794483696,0.21230170227748588,0.22575905621476233,0.17419410220709694,0.0035685077035213955,0.42356346019599816,0.45161936865751995,0.220847323874096,0.18130386047177416,-0.11038480223069515,0.17116875370919551,-0.07695547022052854,0.07695547022052854,-0.12843004596949048,-0.08697028009102231,0.2343631163405236,0.0234387305353248,0.01746065440782052
owns_land_certificate___policy,-0.24147765911697924,0.08673814116633145,0.12886722790664223,0.12471831337538705,0.03284608437145884,0.06115314998513518,0.1722551313126627,0.06432410470391813,-0.054154377466975046,-0.03710850950441983,0.020624563205352425,-0.010319419131863544,0.02637823228341279,-0.11153769171485252,-0.04298677207915685,-0.02000305092400919,0.21846698794483696,1.0,0.17535930636034802,0.13611710778978628,0.08576160630969144,-0.001362063046308259,0.15292481876579944,0.12912314024265223,0.1002232240098298,0.04995454503672497,0.016628222810363587,0.0275975077855856,-0.02392736200365443,0.02392736200365443,-0.04351572423518703,-0.033104330628037165,0.12270430508046172,0.16542859163875515,-0.016596828107937788
quantity_of_fertilizers_used___policy,-0.05280801300104948,0.12555867086079545,0.245480878361979,0.16760498688361988,-0.05456319274376948,0.11112044624823382,0.25803776416511254,-0.0046933237459194435,0.05038647554908981,0.054488578836033044,0.15431564087119476,-0.0064404432219417026,0.1496894571094685,0.01469519820508259,0.08718508904452614,-0.07545094430810485,0.21230170227748588,0.17535930636034802,1.0,0.0733940739037395,0.2405030879776268,0.09585820013655683,0.18503170425029355,0.12432253840184883,0.1682409368198882,0.020316566700520917,-0.008847974431866511,0.030884033035191685,-0.02725510969204525,0.02725510969204525,-0.041291380618993824,-0.00386684611077373,0.1493463567435413,0.10063310485910866,-0.015641723787736088
quantity_of_improved_seeds___policy,0.028216750705539757,0.03736127930553606,0.23175689099765168,0.13090740788341015,0.033913901652640355,0.03894829277290724,0.2621299085354754,0.018307659390305486,-0.03711154745810788,0.10223163245249194,0.14705948604778585,0.10108130419781797,0.0950994095560268,0.12901466900892616,0.15904602280388241,0.12825756151262513,0.22575905621476233,0.13611710778978628,0.0733940739037395,1.0,0.1459627268564241,0.03058953805001394,0.35711660823974917,0.17153165481422575,0.04346165316022907,-0.043011873614658074,-0.06493872554687274,0.1067495379384068,-0.05460491608851563,0.05460491608851563,-0.07830606705865759,-0.047557040681078085,0.06175939154055126,0.012764682570364349,0.0815750468454508
quantity_of_pesticides_used___policy,-0.10402762588612056,0.08223525150438742,0.2178719288342181,0.10617427245372345,0.08910142655997343,0.030208291424553387,0.23261793283409143,0.027576607780398367,0.09083589509251061,0.07817545930298149,-0.009246520975751047,-0.02659119110821161,-0.024282825694548524,0.0019903494886592196,0.09867017784516931,-0.015552602772560997,0.17419410220709694,0.08576160630969144,0.2405030879776268,0.1459627268564241,1.0,0.10336224140080288,0.16741253420652222,0.057461043674112706,0.10545682158507706,-0.029344312924048155,-0.017946699873228063,0.07690521773860634,0.0001442892986613138,-0.0001442892986613138,-0.06485696881413926,0.08265749475852456,0.09097296844005094,0.04819871107498951,-0.003850802249081018
uses_irrigation___policy,-0.022245457305517524,0.06282508132001995,-0.006411472848880283,0.010870302638587341,0.06275609810877718,0.014175413612711112,0.14115406384585077,-0.017266161340636077,0.07491607343473178,0.03998374925959093,-0.04026501661873162,-0.06503472636783136,-0.03211398671367288,0.025880192823423208,0.03891956268774904,-0.030581614883339665,0.0035685077035213955,-0.001362063046308259,0.09585820013655683,0.03058953805001394,0.10336224140080288,1.0,0.001498294586711252,0.0330162471071324,0.020699287036117772,-0.03468515026909205,-0.013582875710754198,0.0009760737162041023,-0.046497539644026635,0.046497539644026635,-0.05832909353211757,0.01525902974719428,-0.007042387856380379,0.033776998751339334,0.0083604289523985
land_surface,-0.08427166006491281,0.044614274107593194,0.4354288395677967,0.1544553337511996,-0.07018555685106916,0.10264731476135376,0.4292412062994873,0.06442039572277461,-0.09588593765438581,0.16432734077962755,0.1823703267989209,0.10183089425500233,0.14895725362071918,0.1594926363437462,0.21640722312178234,0.13555942428119253,0.42356346019599816,0.15292481876579944,0.18503170425029355,0.35711660823974917,0.16741253420652222,0.001498294586711252,1.0,0.30652073420222375,0.13840694618632074,0.09010518534761641,-0.08712509885453602,0.11066735047641463,-0.05458953643645149,0.05458953643645149,-0.06822361772529786,-0.058211460009712335,0.1533924081290036,0.025033224630839974,0.13295696269438262
household_size,-0.04720822735416785,-0.06294810184924986,0.17229472112977762,0.04599681108154832,-0.15192407289240095,-0.06536680839363578,0.1296566975839719,0.05704650536421749,0.035627116432512214,-0.02953323331014435,0.23807513199235977,0.17644670504301732,0.23534211205963454,0.004996203602026928,0.0119694341014567,0.127812365449021,0.45161936865751995,0.12912314024265223,0.12432253840184883,0.17153165481422575,0.057461043674112706,0.0330162471071324,0.30652073420222375,1.0,-0.05881581967364079,0.16518182567410017,-0.18121644560492386,0.12365846512682536,-0.1365865021547028,0.1365865021547028,-0.09600106895120916,-0.2509249038269651,-0.07353892073020868,0.08639066967571916,0.09577469948929747
attended_school,-0.10935028636965849,0.5718150640294211,0.1422594179708341,0.251965016482684,-0.08161626991685403,0.18213524532981676,0.19263289549976564,0.01399761559122287,-0.002522225378622904,0.07859350852482686,0.06776235014437208,-0.014998995714255047,0.006395527368188574,0.034210748690655636,0.08942997696707479,-0.012778694040214278,0.220847323874096,0.1002232240098298,0.1682409368198882,0.04346165316022907,0.10545682158507706,0.020699287036117772,0.13840694618632074,-0.05881581967364079,1.0,0.09442866800279424,0.11874867375455225,0.006350255021351503,0.04255341216400537,-0.04255341216400537,-0.025177753667474895,0.1828548146365493,0.699915284301957,0.02593823029577542,-0.20691598353102933
household_head_age,-0.08984419365580208,0.1467995108332037,-0.03593841436819166,-0.10069952509107875,-0.000716901451804567,-0.08779404415592017,0.06630241601698669,0.025648891932111263,-0.03635808449329979,-0.028274224465851705,0.14487208011877584,0.10167681122022247,0.16674768002930704,0.02570872712573059,-0.00819565445427733,0.05541439150370471,0.18130386047177416,0.04995454503672497,0.020316566700520917,-0.043011873614658074,-0.029344312924048155,-0.03468515026909205,0.09010518534761641,0.16518182567410017,0.09442866800279424,1.0,0.03957818457386668,-0.16318526697570704,-0.02888385490662705,0.02888385490662705,0.3580472909704865,-0.24943394096761748,0.005053556617179158,0.11824523533245675,0.09540664842371953
household_head_is_divorced,-0.0783662827741836,0.06952167751132235,-0.037800658812189185,-0.05417532896020648,0.04079801653109462,0.002913621241630308,0.0023909907750639696,-0.03974902043209461,0.013089499316931201,-0.01039276940357716,-0.08364247346973508,-0.06182437679216273,-0.08376700110961867,-0.03685741197994006,-0.03072737658556398,-0.0309948666932595,-0.11038480223069515,0.016628222810363587,-0.008847974431866511,-0.06493872554687274,-0.017946699873228063,-0.013582875710754198,-0.08712509885453602,-0.18121644560492386,0.11874867375455225,0.03957818457386668,1.0,-0.262804986402129,0.14496584773613996,-0.14496584773613996,-0.12964593885948636,-0.06504483716559824,0.06619532792456964,0.003639651032801837,-0.036437096990182764
household_head_is_male,0.029698245191940226,-0.09392442982212232,0.15335930881564927,0.08935792938943614,-0.07175929763980318,0.08377784217804252,0.02576906014449518,0.050106398059280896,-0.06421575198482217,-0.034395843222113115,0.13153903344077664,0.0741879805815756,0.10018634893298259,-0.03517732190749046,-0.007496448487428277,0.06907313269442268,0.17116875370919551,0.0275975077855856,0.030884033035191685,0.1067495379384068,0.07690521773860634,0.0009760737162041023,0.11066735047641463,0.12365846512682536,0.006350255021351503,-0.16318526697570704,-0.262804986402129,1.0,0.05529187680266427,-0.05529187680266427,-0.5235867694440799,0.025669033864355782,0.06286879440551002,-0.02818414783956273,0.000975517270771127
household_head_is_monogamous,-0.006262477991428839,0.060871634134273975,-0.043576416427216144,0.00043501853061380334,0.01962830483772043,0.007433857206019818,0.008915437202583809,-0.0020759652174685453,-0.04355689765718996,-0.09428921689599296,-0.037291587507192754,-0.02232168996359694,-0.048314889585177996,-0.09211981873446373,-0.08716056862219419,-0.0232772025984428,-0.07695547022052854,-0.02392736200365443,-0.02725510969204525,-0.05460491608851563,0.0001442892986613138,-0.046497539644026635,-0.05458953643645149,-0.1365865021547028,0.04255341216400537,-0.02888385490662705,0.14496584773613996,0.05529187680266427,1.0,-1.0,0.18880873515511817,0.094727482724451,0.06653343426859962,-0.0053944782198143155,-0.0672065573344244
household_head_is_polygamous,0.006262477991428839,-0.060871634134273975,0.043576416427216144,-0.00043501853061380334,-0.01962830483772043,-0.007433857206019818,-0.008915437202583809,0.0020759652174685453,0.04355689765718996,0.09428921689599296,0.037291587507192754,0.02232168996359694,0.048314889585177996,0.09211981873446373,0.08716056862219419,0.0232772025984428,0.07695547022052854,0.02392736200365443,0.02725510969204525,0.05460491608851563,-0.0001442892986613138,0.046497539644026635,0.05458953643645149,0.1365865021547028,-0.04255341216400537,0.02888385490662705,-0.14496584773613996,-0.05529187680266427,-1.0,1.0,-0.18880873515511817,-0.094727482724451,-0.06653343426859962,0.0053944782198143155,0.0672065573344244
household_head_is_widowed,-0.023190260246432892,0.07285945582585443,-0.1272616663159914,-0.1168625802954171,0.07598494073066193,-0.09389352309869806,-0.004774262674466039,-0.004065803769577223,0.017225755211096417,-0.0285026975109568,-0.06027351685538928,-0.016299534115505318,-0.0294905094992375,-0.012137047216009333,-0.030407042510892015,-0.05714681412379444,-0.12843004596949048,-0.04351572423518703,-0.041291380618993824,-0.07830606705865759,-0.06485696881413926,-0.05832909353211757,-0.06822361772529786,-0.09600106895120916,-0.025177753667474895,0.3580472909704865,-0.12964593885948636,-0.5235867694440799,0.18880873515511817,-0.18880873515511817,1.0,-0.0847167358753393,-0.06775183513180187,0.05003131371214824,0.038642541795871885
household_head_never_married,0.027388712409567247,0.018859049975185456,-0.012667564041189492,0.05679894510689393,-0.011625636298511354,0.04440702304886414,-0.02371692802735055,0.0188622410348747,0.004937400591741027,0.03656957297213523,-0.06105047602954001,-0.05535324689353257,-0.08162139534476767,0.0107648016266928,0.023825705578762714,-0.0025348370511619716,-0.08697028009102231,-0.033104330628037165,-0.00386684611077373,-0.047557040681078085,0.08265749475852456,0.01525902974719428,-0.058211460009712335,-0.2509249038269651,0.1828548146365493,-0.24943394096761748,-0.06504483716559824,0.025669033864355782,0.094727482724451,-0.094727482724451,-0.0847167358753393,1.0,0.1951150905489087,-0.050246173415281266,-0.13601747808931014
literacy,-0.08075850284982322,0.39484300050625865,0.17006060492854985,0.3015935227274039,-0.1354890304810929,0.22512535532084935,0.14527544118202207,-0.02483447878574942,-0.06875753372291205,0.04191481258107858,0.05677194104877798,-0.020017769001182885,-0.007630079456446405,-0.015135966301823836,0.06235674380009504,0.002051432253296166,0.2343631163405236,0.12270430508046172,0.1493463567435413,0.06175939154055126,0.09097296844005094,-0.007042387856380379,0.1533924081290036,-0.07353892073020868,0.699915284301957,0.005053556617179158,0.06619532792456964,0.06286879440551002,0.06653343426859962,-0.06653343426859962,-0.06775183513180187,0.1951150905489087,1.0,-0.018483927414061005,-0.2714222013944755
weight,0.17910085279504342,0.06283171713661369,0.03739805220112676,-0.023951432709985978,0.05114810313933339,-0.022731625687943905,0.17113952151486855,0.023723208192440094,-0.0081879800813038,-0.06010843929998272,-0.05925010902280398,-0.035353510894306564,0.02013656818185498,-0.12426066607845886,-0.05816424485492517,-0.08777107755472066,0.0234387305353248,0.16542859163875515,0.10063310485910866,0.012764682570364349,0.04819871107498951,0.033776998751339334,0.025033224630839974,0.08639066967571916,0.02593823029577542,0.11824523533245675,0.003639651032801837,-0.02818414783956273,-0.0053944782198143155,0.0053944782198143155,0.05003131371214824,-0.050246173415281266,-0.018483927414061005,1.0,0.06345232739652007
rural_household,0.059730234623655315,-0.1754323475277269,0.014117108551404339,-0.3298209712844562,0.04955304226660568,-0.1447271354460521,0.12599740144234473,-0.01719091318678849,0.027208662887475418,-0.06282127731588728,0.04645545228623068,0.11491994503161718,0.13370169686406821,0.006062734445655272,-0.06681268751917427,0.057534474852292024,0.01746065440782052,-0.016596828107937788,-0.015641723787736088,0.0815750468454508,-0.003850802249081018,0.0083604289523985,0.13295696269438262,0.09577469948929747,-0.20691598353102933,0.09540664842371953,-0.036437096990182764,0.000975517270771127,-0.0672065573344244,0.0672065573344244,0.038642541795871885,-0.13601747808931014,-0.2714222013944755,0.06345232739652007,1.0
