y4_hhid,children_education___output,crop_sales___output,expenditure___output,has_medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,has_bank_account___policy,has_borrowed___policy,has_hired_workers___policy,months_hired_workers___policy,number_of_animals_owned___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_pesticides_used___policy,uses_credit___policy,uses_irrigation___policy,attended_school,distance_to_road,distance_to_market,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_separated,household_head_is_widowed,household_head_never_married,household_size,land_surface,literacy,lives_in_arusha,lives_in_daressalaam,lives_in_dodoma,lives_in_geita,lives_in_iringa,lives_in_kagera,lives_in_kaskazinipemba,lives_in_kaskaziniunguja,lives_in_katavi,lives_in_kigoma,lives_in_kilimanjaro,lives_in_kusinipemba,lives_in_kusiniunguja,lives_in_manyara,lives_in_mara,lives_in_mbeya,lives_in_mjinimagharibi,lives_in_morogoro,lives_in_mtwara,lives_in_mwanza,lives_in_njombe,lives_in_pwani,lives_in_rukwa,lives_in_ruvuma,lives_in_shinyanga,lives_in_simiyu,lives_in_singida,lives_in_tabora,lives_in_tanga,rural_household,weight,latitude,longitude
1785,0.5,240000,3797724.75,0.1428571,0,4,0,1,1,0,46,6,0,1,500,0,1,0,0.5714286,0.25,2,80,0,1,1,0,0,0,0,7,5.74,0.5714286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1786,0.5,440000,6603495,0,1,1,0,0,,0,55,,1,,1600,0,0,0,0.6666667,0,5,39,0,1,1,0,0,0,0,6,6.69,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1784,0,55000,2142856.75,0.25,1,0,0,0,,0,11,,0,0,0,0,0,0,0.5,2,20,29,0,1,1,0,0,0,0,4,5.09,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1779,1,115000,557241.5625,0,1,1,0,1,,0,,,0,0,0,0,0,0,0.5,0.5,1,73,0,0,0,0,0,1,0,2,3.07,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1782,,350000,4216096,0,1,0,0,1,1,0,129,0,1,,2600,0,0,0,0.5,0,1,93,0,1,1,0,0,0,0,4,8.78,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1783,0.5,394000,6846018.5,0,0,1,0,0,1,0,56,0,1,1,1100,0,1,0,0.6666667,0,23,36,0,1,1,0,0,0,0,9,11.6,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1781,0,807000,1637366.75,0.1666667,1,0,0,1,1,0,23,,2,,750,0,0,0,0.3333333,0,5,38,0,1,1,0,0,0,0,6,25.08,0.3333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
1780,0,930000,2055330.125,0,1,0,0,0,1,0,24,0,1,0,0,0,0,0,0.25,1.5,5,31,0,1,1,0,0,0,0,4,27.44,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6429.445,-4.896474308,35.63331015
5770,0.4,,1043783.813,0,0,2,0,0,,0,,,0,0,0,0,0,0,0.6666667,0,70,38,0,0,1,0,0,0,0,6,0.18,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5773,0,105000,1935390.875,0.6666667,0,2,0,1,1,0,11,1,0,0,0,0,0,0,0.3333333,1.25,7.5,32,0,0,0,0,0,0,0,3,0.79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
