y4_hhid,children_education___output,crop_sales___output,expenditure___output,has_medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,has_bank_account___policy,has_borrowed___policy,has_hired_workers___policy,months_hired_workers___policy,number_of_animals_owned___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_pesticides_used___policy,uses_credit___policy,uses_irrigation___policy,attended_school,distance_to_road,distance_to_market,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_separated,household_head_is_widowed,household_head_never_married,household_size,land_surface,literacy,lives_in_arusha,lives_in_daressalaam,lives_in_dodoma,lives_in_geita,lives_in_iringa,lives_in_kagera,lives_in_kaskazinipemba,lives_in_kaskaziniunguja,lives_in_katavi,lives_in_kigoma,lives_in_kilimanjaro,lives_in_kusinipemba,lives_in_kusiniunguja,lives_in_manyara,lives_in_mara,lives_in_mbeya,lives_in_mjinimagharibi,lives_in_morogoro,lives_in_mtwara,lives_in_mwanza,lives_in_njombe,lives_in_pwani,lives_in_rukwa,lives_in_ruvuma,lives_in_shinyanga,lives_in_simiyu,lives_in_singida,lives_in_tabora,lives_in_tanga,rural_household,weight,latitude,longitude
5769,0,3820000,5533531,0,1,3,0,1,1,12,4,0,2,0,0,0,0,0,0.5,0,6,29,0,1,1,0,0,0,0,4,8.42,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5772,0,,640116.875,0,0,1,0,0,,0,,,0,,0,0,1,0,0.4,5,8,65,0,0,1,0,0,0,0,5,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5771,0.75,,3158840.75,0,1,5,0,1,1,0,114,3,0,0,0,0,0,0,0.7142857,0,4,84,0,1,1,0,0,0,0,7,4.68,0.7142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5774,,,1628219.75,0,1,2,0,0,1,0,,0,0,0,0,0,0,0,0,1,1,29,0,0,0,1,0,0,0,1,0.36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5776,0,612000,4598734.5,0.25,0,2,0,1,,0,0,,0,0,0,0,0,0,0.25,0,10,54,0,0,1,0,0,0,0,4,2.7,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
5775,,200000,2164067.5,0,1,5,0,1,,0,,,0,0,0,0,1,0,1,2,7.333333,50,0,1,0,1,0,0,0,3,1.83,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5627.218,-6.658715377,36.08263746
1799,0.75,299000,2754784.5,0.25,0,3,0,0,1,0,18,0,3,0,0,0,0,0,0.75,1.166667,45.66667,44,0,1,1,0,0,0,0,8,6.27,0.875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1804,0,,1177845,0,1,2,0,1,1,0,18,0,0,,0,0,0,0,0.3333333,2,2,65,0,0,0,0,1,0,0,3,2.07,0.3333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1800,0.6,35000,3996678,0.25,0,1,0,0,,0,22,,1,0,500,0,0,0,0.75,3,40,50,0,1,1,0,0,0,0,8,3.06,0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1801,0.4,,2374106.75,0.125,1,5,0,0,,0,2,,0,0,0,0,0,0,0.375,3.75,43.75,42,0,1,1,0,0,0,0,8,7.37,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1802,0.4,277000,7221700,0.1428571,0,5,0,1,,0,80,,1,1,640,0,0,0,0.8571429,0,12.33333,46,0,1,1,0,0,0,0,7,10.51,0.8571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1805,0.4,30000,2107747.25,0,1,2,0,0,,0,30,,0,0,0,0,0,0,0.3333333,1,60,37,0,0,0,0,1,0,0,6,1.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1803,0.6666667,390000,2087012.375,0.2,1,6,0,1,1,0,40,23,0,0,4000,0,0,0,0.8,2,42.75,28,0,1,1,0,0,0,0,5,8.68,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
1798,0.3333333,1170000,3601863.25,0,0,4,0,1,1,0,34,0,1,0,540,0,0,0,0.4,0,9.333333,34,0,1,1,0,0,0,0,5,5.8,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-6.291397455,36.68087976
5795,1,1298000,5553590,0.3333333,1,6,1,1,1,0,,0,1,0,0,0,0,0,1,0,61.6,44,0,1,1,0,0,0,0,3,4.69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5789,,78000,1607163.25,1,1,4,0,1,1,0,,0,0,0,0,0,0,0,1,3,4,26,0,1,1,0,0,0,0,2,1.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5793,0.6666667,60000,4662230.5,0,0,6,0,1,1,0,38,0,0,0,0,0,0,0,1,0,8,86,0,1,0,0,1,0,0,6,4.43,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5792,0,10000,1210525.75,0,0,3,0,1,1,0,2,2,0,,0,0,0,0,0.3333333,1,1,29,0,1,1,0,0,0,0,3,2.24,0.3333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5794,0,,1567154.5,0,0,6,0,1,,0,,,0,0,0,0,0,0,0.4,0,3,40,0,1,0,0,0,0,0,5,4.08,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5790,0.3333333,235000,1569261.625,0,0,0,0,1,1,0,55,16,0,0,0,0,0,0,0.8333333,1,8,49,0,1,1,0,0,0,0,6,5.3,0.8333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5791,0,,1692275.75,0.3333333,0,5,0,1,1,0,37,6,0,0,0,0,1,0,0.6666667,6,6,39,0,1,1,0,0,0,0,3,0.35,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
5788,1,,2504580.75,0.2,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0.6,4.5,4,43,0,1,1,0,0,0,0,5,3.32,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7810.441,-6.158228051,36.20868104
1822,0,,2304391.25,0.5,1,,0,1,,0,,,0,,,,1,,0.5,,,33,0,0,0,0,1,0,0,2,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1823,0.5,,5531503,0.3333333,1,,1,1,,0,,,0,,,,1,,0.6666667,,,32,0,0,0,0,1,0,0,3,0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1819,0.3333333,,10091969,0.2,1,2,1,0,1,0,,0,0,1,0,0,0,0,0.8,7,8.5,31,0,1,1,0,0,0,0,5,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1821,0,,3198893.5,0.3333333,0,,1,1,,0,,,0,,,,1,,0.6666667,,,38,0,1,1,0,0,0,0,3,0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1824,0.75,,19005102,0.1428571,1,,1,,,0,32,,0,,,,0,,0.7142857,,,47,0,1,1,0,0,0,0,7,0,0.7142857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1817,0,,606362.375,0.5,0,,1,,,0,,,0,,,,0,,0.5,,,41,1,0,0,0,0,0,0,2,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1820,0,,7086726,0,1,,1,,,0,45,,0,,,,0,,0.75,,,63,0,1,1,0,0,0,0,4,0,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1818,,,2745891.5,0,1,,1,,,0,,,0,,,,0,,1,,,45,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7383.263,-6.159419682,35.73678504
1843,0.4,843000,4731426,0.25,0,3,0,1,0,0,66,,0,0,720,0,0,0,0.625,0,34,45,0,1,1,0,0,0,0,8,6.01,0.625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1838,0.6666667,125000,1416930.5,0,1,4,0,0,1,0,,40,0,0,0,0,0,0,0.75,0,6,47,0,0,0,0,0,1,0,4,4.4,0.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1842,,20000,598400.625,0,0,0,0,1,,0,25,,0,0,250,0,0,0,0,1.5,5.5,86,0,1,1,0,0,0,0,2,5.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1839,0.6666667,60000,1582470.625,0,1,1,0,1,,0,72,,0,,0,0,0,0,0.6,4,6,28,0,1,1,0,0,0,0,5,1.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1840,0.25,,1110405,0.1666667,0,2,0,1,1,0,,2,0,0,0,0,0,0,0.3333333,7.333333,51.33333,32,0,1,1,0,0,0,0,6,2.87,0.3333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1841,0.2,460000,3491911,0,1,3,0,1,1,0,,0,1,0,0,0,0,0,0.6666667,0,7,49,0,1,1,0,0,0,0,9,6.72,0.4444444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1836,,,1748551.625,0,1,1,0,0,,0,,,0,0,0,0,0,0,0,4,9,54,0,0,0,1,0,0,0,2,1.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
1837,0,940000,2814060.75,0,0,4,0,1,1,0,64,4,1,,880,0,0,0,0.1666667,0,6.666667,65,0,1,0,1,0,0,0,6,9.4,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5011.033,-5.843552688,35.96312767
5813,0.75,,8273919,0.3333333,1,,1,0,,0,100,,0,0,,,1,,0.8333333,0,5,43,0,1,1,0,0,0,0,6,0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5810,0,,3973708,0.1666667,0,,0,1,,0,,,0,,,,1,,0.5,,,56,0,1,0,1,0,0,0,6,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5809,1,,5446252.5,0.3333333,1,3,1,0,,0,,,0,1,0,0,0,0,1,0,5,62,0,0,0,0,1,0,0,3,0.16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5814,0.8,,10177953,0.2857143,1,,1,,,0,119,,0,,,,1,,0.8571429,,,55,0,1,1,0,0,0,0,7,0,0.8571429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5807,0,,2596662.75,0,1,,0,,,0,,,0,,,,0,,0,,,43,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5808,1,,1573000.125,0.3333333,1,,0,,,0,,,0,,,,0,,0.6666667,,,42,0,0,0,0,0,1,0,3,0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5811,0.4,,2918517.25,0.1111111,0,,0,1,,0,,,0,,,,1,,0.5555556,,,53,0,1,1,0,0,0,0,9,0,0.5555556,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5812,0.7142857,,2659963.75,0.0909091,0,,0,,,0,,,0,,,,0,,0.5454546,,,50,0,0,0,0,1,0,0,11,0,0.3636364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4564.462,-6.125767193,35.7343025
5833,0.25,,1995782.5,0.4,0,1,0,1,,0,,,0,,0,0,0,0,0.4,0,22.5,39,0,0,0,0,1,0,0,5,0.41,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5826,0.75,200000,4655726,0,1,3,0,1,1,0,,20,0,0,0,0,0,0,0.6666667,1.666667,2,41,0,1,0,1,0,0,0,6,4.98,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5831,,,1827322.125,1,1,,0,,,0,,,0,,,,0,,0,,,23,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5827,0,288000,2609581.5,0.1428571,0,4,0,1,,0,27,,0,0,1200,0,0,0,0.1428571,0.55,5,47,0,0,0,0,0,1,0,7,8.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5828,0,,1201150,0,0,2,0,0,,0,61,,0,,0,0,0,0,0.1428571,1.766667,2.333333,60,0,1,1,0,0,0,0,7,3.15,0.1428571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5832,0,,2241295.75,0.1666667,1,1,0,0,,0,83,,0,,0,0,0,0,0.1666667,2,4,63,0,1,1,0,0,0,0,6,11.82,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5830,0,300000,4098532.25,0.3333333,0,5,0,1,1,5,33,16,0,0,0,0,0,0,0.1666667,0.8571429,4.285714,32,0,1,1,0,0,0,0,6,7.29,0.1666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
5829,0.6,1470000,1890503.875,0.5,0,5,0,0,1,0,117,4,0,0,0,0,1,0,0.75,9.1,4.2,44,0,1,1,0,0,0,0,8,4.97,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8277.496,-5.956740337,35.25382641
1859,0,420000,1677506.375,0.3333333,1,3,0,1,,0,,,0,0,0,0,0,0,0.6666667,1,12,30,0,1,1,0,0,0,0,3,5.47,0.6666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1858,0.25,825000,3917105.5,0.3333333,0,6,0,1,,0,6,,1,,0,0,1,0,0.3333333,0,10,28,0,1,0,1,0,0,0,9,27.56,0.3333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1861,0,162000,1630663.375,0,0,2,0,1,,0,,,0,,0,0,0,0,0,5,5,26,0,1,1,0,0,0,0,3,4.27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1855,0,550000,2929249.5,0,1,2,0,0,,0,,,0,0,0,0,0,0,1,5,50,25,0,1,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1857,0,572000,9869241,0,0,3,0,0,,0,6,,0,0,0,0,0,0,0.25,3,8.333333,50,0,1,0,1,0,0,0,8,26.1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1856,0.3333333,1560000,4224571.5,0,1,3,0,1,1,0,63,4,0,,0,0,0,0,0.6,1,12,70,0,1,1,0,0,0,0,5,14.18,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1860,0.75,420000,3410387.25,0,0,4,0,1,,0,,,0,0,0,0,0,0,0.8333333,1,9,41,0,1,1,0,0,0,0,6,9.31,0.8333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
1862,0.3333333,992000,4611402.5,0,1,5,0,1,1,0,47,0,0,1,0,0,0,0,0.6,0,7,43,0,1,1,0,0,0,0,5,9.89,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6886.971,-5.015585229,36.25116734
5010,,,1810916.125,1,1,,0,,,0,11,,0,,,,0,,1,,,22,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5015,0,200000,2408713,0.2857143,0,2,0,1,,0,42,,0,0,0,0,0,0,0,2,3,45,0,0,0,0,0,1,0,7,1.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5014,0.1428571,216000,3404388.75,0,0,4,0,1,,0,7,,0,0,300,0,0,0,0.375,0,35,36,0,0,0,0,0,1,0,8,2.07,0.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5013,0.2,40000,2457069,0,1,0,0,1,,0,15,,0,0,630,0,1,0,0.25,1,6,45,0,0,0,0,0,1,0,8,1.41,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5012,,150000,2397778.5,1,0,3,0,1,1,0,75,0,0,0,0,0,0,0,1,0,25,23,0,1,1,0,0,0,0,2,1.37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5011,0,,1680333.375,0.5,0,,0,1,,0,18,,0,,,,1,,0.25,,,24,0,0,0,0,0,0,0,4,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5009,0.25,130000,3754524.75,0.1666667,0,2,0,1,1,0,45,1,1,0,0,0,0,0,0.1666667,0,12,36,0,1,1,0,0,0,0,6,1.03,0.1666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
5016,0,,3000104.5,0,0,2,0,1,,0,26,,0,0,900,0,0,0,0.25,0,13,30,0,1,0,1,0,0,0,4,2.74,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7334.184,-3.499669783,36.53162154
1000,,310000,5258470.5,0,1,2,0,1,,0,43,,1,0,100,0,0,0,1,0,3,67,0,1,0,0,0,1,0,6,3.15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3755.725,-3.36467672,37.04618025
1002,,1588000,2059338.625,0,1,6,0,1,1,0,67,12,0,0,0,0,0,0,0.6666667,0,4,72,0,1,1,0,0,0,0,3,7.81,0.6666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3755.725,-3.36467672,37.04618025
