,cluster,crop_sales___output___ethiopia_2015,latitude___ethiopia_2015,longitude___ethiopia_2015,nid,number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,prevent_damage___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015,household_head_is_male___ethiopia_2015,average_temperature___ethiopia_2015,uses_irrigation___policy___ethiopia_2015,has_saved___policy___ethiopia_2015,number_of_droughts___ethiopia_2015,household_head_is_monogamous___ethiopia_2015,number_of_water_storage_pit_owned___policy___ethiopia_2015,literacy___ethiopia_2015,rural_household___ethiopia_2015,quantity_of_improved_seeds_used___policy___ethiopia_2015,attended_school___ethiopia_2015,number_of_axe_owned___policy___ethiopia_2015,number_of_sickle_owned___policy___ethiopia_2015,uses_credit___policy___ethiopia_2015,household_head_is_polygamous___ethiopia_2015,rooting_conditions_:_moderate_constraint___ethiopia_2015,rooting_conditions_:_no_or_slight_constraint___ethiopia_2015,has_borrowed___policy___ethiopia_2015,rooting_conditions_:_very_severe_constraint___ethiopia_2015,increase_in_price_of_inputs___policy___ethiopia_2015,price_rise_of_food_item___policy___ethiopia_2015,percentage_of_damaged_crop___policy___ethiopia_2015,amount_of_assistance_received___policy___ethiopia_2015,household_head_never_married___ethiopia_2015,household_head_is_separated___ethiopia_2015,number_of_pick_axe_owned___policy___ethiopia_2015,owns_land_certificate___policy___ethiopia_2015,has_a_bank_account___policy___ethiopia_2015,crop_diversification___policy___ethiopia_2015,illness_of_household_member___policy___ethiopia_2015,household_head_is_divorced___ethiopia_2015,rooting_conditions_:_mainly_non-soil___ethiopia_2015,heavy_rains_preventing_work___ethiopia_2015,rooting_conditions_:_severe_constraint___ethiopia_2015,household_head_age___ethiopia_2015,variations_in_greenness___ethiopia_2015,household_head_is_widowed___ethiopia_2015,elevation___ethiopia_2015,average_precipitation___ethiopia_2015
10,3,108.57167994087807,14.2885896726,38.210251919,17.0,0.0,35250.71,304.0,2.0,0.0,9.0,2.0,1.0,1.0,213.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,53.0,46.0,0.0,1847.0,867.0
11,3,315.67096370475565,14.2885896726,38.210251919,18.0,7.0,59645.48,333.0,5.0,0.2608695652173913,9.0,10.0,1.0,1.0,213.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,4.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.95652173913044,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,66.0,46.0,0.0,1836.0,868.0
12,3,701.1721708957148,14.2885896726,38.210251919,19.0,0.0,25807.259999999995,130.0,2.0,0.0,9.0,1.0,1.0,1.0,213.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,46.0,0.0,1829.0,868.0
13,3,370.6742376836146,14.2885896726,38.210251919,20.0,0.0,40416.51,156.0,2.0,0.3076923076923077,5.0,2.0,1.0,1.0,214.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.92307692307692,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,46.0,0.0,1817.0,870.0
14,3,2463.190095574987,14.2885896726,38.210251919,21.0,33.0,40561.75,208.0,4.0,0.4166666666666667,6.0,2.0,1.0,1.0,229.0,0.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,46.0,0.0,1649.0,841.0
15,0,119.57233473664984,14.1097608206,38.4738350524,33.0,2.0,709.55,4.0,0.0,0.0,3.0,1.0,1.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0769230769230766,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,46.0,1.0,1987.0,784.0
16,3,1578.354818523778,14.0862760222,37.9831865445,47.0,13.0,15859.04,76.0,2.0,0.0,7.0,2.0,1.0,1.0,262.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.30769230769231,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,46.0,0.0,1141.0,725.0
17,3,765.262942314559,14.0862760222,37.9831865445,48.0,19.0,14070.96,50.0,2.0,0.4,5.0,2.0,1.0,1.0,262.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,0.0,1085.0,721.0
18,3,573.9472067359193,14.0862760222,37.9831865445,52.0,0.0,2084.870000000001,0.0,0.0,0.0,5.0,1.0,0.0,1.0,262.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5446497619445236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,46.0,0.0,1090.0,721.0
19,3,1291.3812151558184,14.0862760222,37.9831865445,53.0,0.0,13965.45,50.0,1.0,0.0,3.0,1.0,1.0,1.0,262.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.5446497619445236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0,0.0,1086.0,721.0
