,cluster,crop_sales___output,y4_hhid,land_surface,number_of_tools_owned___policy,crop_diversification___policy,number_of_days_hired_workers___policy,household_head_is_monogamous
114,2,300000.0,57000000.0,4.1000000238419,9.0,11.0,0.0,1.0
115,1,190000.0,57000000.0,2.1000000014901,5.0,13.0,0.0,1.0
116,3,10100000.0,57000000.0,40.0,31.0,21.0,32.0,1.0
117,0,120000.0,59000000.0,1.5,2.0,1.0,0.0,0.0
118,1,1240000.0,59000000.0,2.0000000149012,13.0,16.0,7.0,1.0
119,1,236000.0,60000000.0,1.5,5.0,15.0,52.0,1.0
120,1,378000.0,60000000.0,2.75,5.0,10.0,0.0,1.0
121,3,6850000.0,60000000.0,21.5,18.0,34.0,0.0,1.0
122,2,126000.0,60000000.0,6.0,8.0,18.0,0.0,1.0
123,0,700000.0,61000000.0,1.25,5.0,6.0,0.0,1.0
124,3,9707200.0,61000000.0,26.5,13.0,20.0,3.0,1.0
125,1,360000.0,61000000.0,2.5,5.0,19.0,0.0,1.0
126,2,725000.0,61000000.0,4.25,9.0,14.0,0.0,1.0
127,3,3900000.0,61000000.0,28.5,13.0,18.0,0.0,0.0
128,2,1200000.0,61000000.0,3.5,12.0,7.0,0.0,0.0
129,2,352000.0,61000000.0,2.75,10.0,17.0,0.0,0.0
130,3,2600000.0,61000000.0,9.0,17.0,16.0,0.0,1.0
131,2,7026400.0,61000000.0,4.75,9.0,20.0,7.0,1.0
132,0,40000.0,62000000.0,0.5,7.0,7.0,15.0,1.0
133,1,890000.0,62000000.0,2.25,5.0,11.0,1.0,1.0
134,2,290000.0,62000000.0,3.0,5.0,6.0,40.0,1.0
135,1,20000.0,63000000.0,1.0500000268221,8.0,14.0,3.0,1.0
136,2,32000.0,63000000.0,6.0,3.0,9.0,0.0,1.0
137,0,43000.0,63000000.0,2.0000000447035,6.0,5.0,6.980124929017603,1.0
138,1,310400.0,63000000.0,2.0000000149012,9.0,18.0,0.0,1.0
139,3,1495000.0,63000000.0,10.5,11.0,25.0,0.0,1.0
140,2,550000.0,63000000.0,5.449999809265099,4.0,3.0,6.980124929017603,1.0
141,1,2200.0,64000000.0,1.8000000715256,2.0,12.0,0.0,1.0
142,1,452000.0,64000000.0,2.0000000298023,5.0,12.0,0.0,1.0
143,2,360000.0,64000000.0,4.0,3.0,8.0,7.0,1.0
144,1,960000.0,64000000.0,3.0,5.0,11.0,0.0,1.0
145,3,600000.0,64000000.0,5.0,14.0,10.0,0.0,1.0
146,2,4940000.0,64000000.0,5.75,6.0,19.0,2.0,1.0
147,2,4041000.0,64000000.0,6.2000000029802,6.0,20.0,0.0,0.0
148,3,930000.0,64000000.0,6.6500000059605,9.0,20.0,0.0,1.0
149,3,4196600.0,64000000.0,10.0,12.0,16.0,5.0,1.0
150,2,1960000.0,64000000.0,7.25,6.0,23.0,8.0,1.0
151,1,370000.0,66000000.0,3.100000038743,5.0,16.0,0.0,1.0
152,2,392500.0,66000000.0,9.0,5.0,7.0,6.980124929017603,0.0
153,1,40000.0,66000000.0,2.1500000059605,1.0,19.0,0.0,1.0
154,0,320000.0,66000000.0,2.5,2.0,5.0,0.0,1.0
155,2,1703000.0,66000000.0,4.1999999284744,4.0,14.0,0.0,1.0
156,2,1300000.0,66000000.0,4.0,4.0,10.0,0.0,1.0
157,3,8108000.0,66000000.0,12.100000023842002,19.0,25.0,4.0,1.0
158,3,2181000.0,66000000.0,11.0,11.0,11.0,0.0,1.0
159,1,7500.0,67000000.0,1.1000000089407,3.0,10.0,0.0,1.0
160,3,2710000.0,67000000.0,9.25,20.0,27.0,3.0,0.0
161,2,284000.0,67000000.0,7.390000060200701,4.0,12.0,9.0,1.0
162,2,160000.0,67000000.0,6.25,4.0,22.0,0.0,1.0
163,1,380000.0,67000000.0,1.700000025332,5.0,7.0,0.0,1.0
164,2,300000.0,67000000.0,3.0,12.0,9.0,0.0,1.0
165,1,80000.0,67000000.0,1.4500000067054999,4.0,10.0,0.0,0.0
166,1,12000.0,67000000.0,2.0,4.0,7.0,0.0,1.0
167,1,2058000.0,68000000.0,1.0000000149011998,6.0,14.0,0.0,0.0
168,1,240000.0,68000000.0,1.4000000357628,4.0,11.0,0.0,1.0
169,1,90000.0,68000000.0,1.5,4.0,14.0,0.0,1.0
170,1,160000.0,68000000.0,2.0,3.0,13.0,2.0,1.0
171,1,110000.0,68000000.0,1.6500000059605,11.0,13.0,0.0,0.0
172,0,25000.0,69000000.0,0.40000001341105,2.0,5.0,1.0,1.0
173,1,40000.0,69000000.0,1.1000000238418999,4.0,10.0,3.0,1.0
174,1,460000.0,69000000.0,0.6000000089406999,4.0,8.0,0.0,1.0
175,2,198000.0,69000000.0,8.25,9.0,11.0,0.0,1.0
176,1,240000.0,70000000.0,1.625,10.0,16.0,0.0,1.0
177,2,67000.0,70000000.0,5.0,8.0,14.0,11.0,0.0
178,3,4796000.0,70000000.0,16.40000000596,13.0,23.0,0.0,1.0
179,0,60000.0,72000000.0,1.5,3.0,4.0,0.0,0.0
180,1,1460000.0,72000000.0,2.7000000178814,4.0,17.0,0.0,1.0
181,1,125000.0,72000000.0,1.0,2.0,13.0,0.0,1.0
182,3,400000.0,72000000.0,4.5,12.0,17.0,0.0,0.0
183,1,2130000.0,72000000.0,2.5,5.0,23.0,0.0,1.0
184,1,50000.0,72000000.0,1.0,4.0,14.0,0.0,1.0
185,2,1700000.0,72000000.0,7.0,9.0,15.0,0.0,1.0
186,1,80000.0,73000000.0,2.5,4.0,8.0,0.0,1.0
187,1,30000.0,73000000.0,2.4000000357627997,3.0,12.0,0.0,1.0
188,1,112000.0,73000000.0,1.6000000312923999,5.0,13.0,0.0,1.0
189,2,400000.0,73000000.0,4.5999999642372,5.0,14.0,0.0,1.0
190,2,300000.0,73000000.0,3.4500000029802003,9.0,21.0,0.0,0.0
191,0,10000.0,73000000.0,0.70000001788139,3.0,6.0,0.0,1.0
192,2,680000.0,74000000.0,3.5,12.0,4.0,0.0,0.0
193,1,376000.0,74000000.0,1.9000000208616001,6.0,13.0,7.0,0.0
194,1,60000.0,75000000.0,0.80000002682209,2.0,8.0,0.0,1.0
195,1,62000.0,75000000.0,2.1500000059605,6.0,15.0,0.0,1.0
196,1,180000.0,75000000.0,2.7500000149012,4.0,25.0,4.0,0.0
197,1,610000.0,75000000.0,2.2000000178814,6.0,21.0,0.0,0.0
198,3,3154000.0,75000000.0,6.0,15.0,11.0,22.0,0.0
199,1,500000.0,75000000.0,2.75,6.0,9.0,11.0,1.0
200,2,2400.0,75000000.0,4.1000000238419,9.0,13.0,0.0,1.0
201,0,8000.0,81000000.0,1.0,7.0,6.0,9.0,1.0
202,1,144000.0,83000000.0,3.0000000149012,5.0,16.0,0.0,1.0
203,3,180000.0,83000000.0,6.3000000119209005,15.0,26.0,0.0,1.0
204,1,100000.0,83000000.0,2.5,7.0,8.0,0.0,1.0
205,3,4140000.0,83000000.0,13.200000047684,16.0,24.0,0.0,0.0
206,2,40000.0,83000000.0,3.5,11.0,9.0,0.0,1.0
207,2,200000.0,83000000.0,4.0,4.0,10.0,0.0,1.0
208,2,800000.0,83000000.0,5.0,7.0,12.0,12.0,1.0
209,1,80000.0,83000000.0,0.90000001341105,3.0,9.0,0.0,1.0
210,1,129000.0,83000000.0,1.7000000104308,3.0,12.0,0.0,1.0
211,1,660000.0,84000000.0,1.5,6.0,17.0,0.0,1.0
212,2,100000.0,84000000.0,3.5,4.0,15.0,0.0,1.0
213,3,3980000.0,84000000.0,14.0,9.0,34.0,8.0,1.0
214,1,1460000.0,84000000.0,3.0,5.0,11.0,0.0,1.0
215,0,180000.0,84000000.0,1.0,2.0,6.0,0.0,1.0
216,3,2580000.0,84000000.0,16.5,8.0,21.0,0.0,0.0
217,1,466000.0,84000000.0,2.5500000715256,5.0,14.0,0.0,1.0
218,2,915600.0,84000000.0,3.75,5.0,20.0,0.0,1.0
219,2,3040000.0,84000000.0,11.5,6.0,19.0,0.0,1.0
220,1,7000.0,84000000.0,2.75,7.0,16.0,0.0,1.0
221,1,376000.0,85000000.0,1.0999999940395,8.0,11.0,0.0,1.0
222,2,344000.0,85000000.0,7.0,4.0,17.0,0.0,1.0
223,1,15000.0,85000000.0,1.0,4.0,8.0,0.0,1.0
224,1,300000.0,85000000.0,1.3999999761581001,6.0,9.0,3.0,1.0
225,2,556000.0,85000000.0,3.3000000417232997,6.0,14.0,0.0,1.0
226,1,50000.0,85000000.0,1.75,5.0,11.0,0.0,1.0
227,1,487500.0,85000000.0,2.5,4.0,9.0,5.0,1.0
228,1,50000.0,85000000.0,2.0,3.0,11.0,0.0,1.0
229,1,200000.0,85000000.0,1.8000000268221,3.0,14.0,0.0,0.0
230,1,60000.0,86000000.0,0.62399999797344,2.0,16.0,0.0,1.0
231,3,9717600.0,86000000.0,11.0,21.0,27.0,3.0,1.0
232,1,284000.0,86000000.0,1.7500000596046001,1.0,17.0,0.0,1.0
233,1,320000.0,86000000.0,2.0,7.0,12.0,0.0,1.0
234,2,348000.0,86000000.0,4.5,7.0,16.0,0.0,1.0
235,1,40000.0,87000000.0,2.0,9.0,8.0,0.0,1.0
236,0,125000.0,87000000.0,0.5,9.0,4.0,28.0,1.0
237,1,16000.0,87000000.0,2.0,4.0,7.0,2.0,0.0
238,1,480000.0,87000000.0,3.0,5.0,13.0,0.0,1.0
239,2,580000.0,87000000.0,2.0,14.0,8.0,0.0,1.0
240,3,600000.0,87000000.0,14.0,15.0,12.0,0.0,1.0
241,1,480000.0,88000000.0,2.5,5.0,16.0,17.0,1.0
242,1,130000.0,88000000.0,2.5,5.0,15.0,0.0,1.0
243,2,69600.0,88000000.0,4.1000000014901,6.0,19.0,0.0,1.0
244,2,120000.0,88000000.0,4.5,2.0,14.0,0.0,1.0
245,3,128000.0,88000000.0,20.0,9.0,13.0,0.0,1.0
246,2,590000.0,88000000.0,4.5,9.0,12.0,0.0,1.0
247,3,1320000.0,88000000.0,19.5,11.0,26.0,0.0,1.0
248,1,64000.0,90000000.0,2.75,4.0,20.0,0.0,0.0
249,2,420000.0,90000000.0,3.0,6.0,13.0,0.0,1.0
250,3,376000.0,90000000.0,7.5,21.0,22.0,0.0,1.0
251,3,3300000.0,90000000.0,16.5,18.0,18.0,30.0,1.0
252,0,3200000.0,90000000.0,1.5,3.0,0.0,0.0,1.0
253,3,4400000.0,90000000.0,16.599999904633,9.0,21.0,16.0,1.0
254,0,165000.0,91000000.0,1.5,3.0,5.0,0.0,1.0
255,3,1212000.0,91000000.0,4.75,14.0,18.0,0.0,0.0
256,3,368000.0,91000000.0,11.5,8.0,17.0,0.0,1.0
257,3,340000.0,91000000.0,15.0,8.0,19.0,0.0,1.0
258,1,630000.0,91000000.0,2.0,3.0,10.0,0.0,1.0
259,3,3114000.0,91000000.0,10.75,12.0,25.0,0.0,0.0
260,3,40000.0,91000000.0,9.0,12.0,11.0,0.0,1.0
261,3,6920000.0,91000000.0,25.0,8.0,33.0,0.0,1.0
262,2,200000.0,91000000.0,3.25,5.0,17.0,0.0,0.0
263,1,224000.0,92000000.0,1.6000000536442,5.0,10.0,0.0,1.0
264,1,56000.0,92000000.0,1.7500000298023,4.0,15.0,0.0,1.0
265,1,186000.0,92000000.0,1.5000000372529,2.0,26.0,0.0,1.0
266,2,186000.0,92000000.0,5.0,6.0,13.0,0.0,1.0
267,2,530000.0,92000000.0,6.900000013411,7.0,23.0,0.0,1.0
268,3,402000.0,100000000.0,6.0,17.0,2.0,30.0,1.0
269,1,360000.0,110000000.0,2.0,10.0,8.0,0.0,1.0
270,0,180000.0,110000000.0,1.0,5.0,4.0,0.0,1.0
271,0,75000.0,110000000.0,3.5459534414117733,3.0,2.0,6.980124929017603,1.0
272,2,260000.0,110000000.0,5.75,9.0,15.0,0.0,1.0
273,2,672000.0,110000000.0,4.0,11.0,10.0,0.0,1.0
274,1,260000.0,110000000.0,1.4000000357628,4.0,10.0,0.0,1.0
275,2,700000.0,110000000.0,11.0,5.0,15.0,0.0,1.0
276,2,1000000.0,110000000.0,4.5,8.0,11.0,0.0,1.0
277,1,40000.0,110000000.0,0.59000000357628,11.0,8.0,0.0,1.0
278,2,300000.0,110000000.0,6.0,4.0,11.0,0.0,0.0
279,0,45000.0,110000000.0,1.0099999997765001,2.0,6.0,0.0,1.0
280,3,240000.0,110000000.0,7.5999999046325994,15.0,8.0,0.0,1.0
281,0,58000.0,110000000.0,2.0,8.0,6.0,2.0,0.0
282,0,225000.0,110000000.0,0.7499999701976799,5.0,4.0,0.0,1.0
283,2,730000.0,110000000.0,5.0000000149012,7.0,8.0,0.0,1.0
284,2,400000.0,110000000.0,3.5,6.0,5.0,0.0,1.0
285,2,90000.0,110000000.0,6.5,7.0,5.0,6.980124929017603,1.0
286,0,22500.0,110000000.0,0.46000000461935997,5.0,6.0,0.0,1.0
287,0,32000.0,110000000.0,2.5,3.0,6.0,0.0,1.0
288,3,70000.0,110000000.0,7.0,12.0,13.0,0.0,1.0
289,1,898000.0,110000000.0,1.8000000715256,5.0,10.0,0.0,1.0
290,0,150000.0,110000000.0,3.5459534414117733,4.0,2.0,6.980124929017603,0.0
291,3,440000.0,110000000.0,7.0,11.0,7.0,0.0,0.0
292,2,120000.0,110000000.0,5.0,5.0,8.0,0.0,1.0
293,1,200000.0,110000000.0,2.5,6.0,8.0,0.0,0.0
294,2,110000.0,110000000.0,3.5,3.0,6.0,0.0,1.0
295,2,280000.0,110000000.0,3.5,8.0,10.0,7.0,1.0
296,0,60000.0,110000000.0,2.0,8.0,2.0,6.980124929017603,0.0
297,0,80000.0,110000000.0,3.0,4.0,2.0,0.0,0.0
298,0,50000.0,110000000.0,1.3000000119208999,10.0,5.0,0.0,1.0
299,3,200000.0,110000000.0,10.0,18.0,2.0,6.980124929017603,0.0
300,1,125000.0,120000000.0,3.0,0.0,7.0,0.0,1.0
301,0,75000.0,120000000.0,3.0,2.0,4.0,0.0,1.0
302,0,400000.0,120000000.0,2.2999999523162997,3.0,3.0,0.0,1.0
303,1,9000.0,120000000.0,3.0000000298022997,4.0,8.0,0.0,0.0
304,1,190000.0,120000000.0,3.25,4.0,13.0,0.0,1.0
305,0,50000.0,120000000.0,2.25,1.0,5.0,6.980124929017603,0.0
306,2,20000.0,120000000.0,5.4000000357628,6.0,10.0,0.0,1.0
307,1,80000.0,120000000.0,2.5,7.0,10.0,0.0,1.0
308,1,1426000.0,120000000.0,3.5459534414117733,6.0,14.0,3.0,1.0
309,2,900000.0,120000000.0,7.5,8.0,12.0,0.0,1.0
310,0,21000.0,120000000.0,1.3999999761581001,2.0,5.0,0.0,1.0
311,2,160000.0,120000000.0,4.0000000596046,4.0,7.0,0.0,1.0
312,2,739000.0,120000000.0,5.5,5.0,18.0,0.0,1.0
313,0,160000.0,120000000.0,0.875,2.0,6.0,0.0,1.0
314,0,100000.0,120000000.0,2.5,3.0,6.0,0.0,1.0
315,2,690000.0,120000000.0,6.0,3.0,5.0,0.0,1.0
316,1,614000.0,120000000.0,3.4000000357628,1.0,11.0,0.0,1.0
317,0,50000.0,120000000.0,0.5,2.0,4.0,0.0,1.0
318,0,45000.0,120000000.0,0.50000001490116,0.0,2.0,6.980124929017603,1.0
319,1,40000.0,120000000.0,1.75,6.0,17.0,0.0,1.0
320,2,190000.0,130000000.0,4.3999999761580995,9.0,5.0,0.0,0.0
321,0,30000.0,130000000.0,0.5,3.0,6.0,0.0,1.0
322,3,410000.0,130000000.0,6.4000000059605,10.0,13.0,0.0,1.0
323,2,160000.0,130000000.0,12.0,6.0,11.0,8.0,0.0
324,0,100000.0,130000000.0,1.1999999880791001,13.0,5.0,0.0,0.0
325,2,30800.0,130000000.0,3.2000000625848997,5.0,6.0,6.980124929017603,1.0
326,2,642000.0,130000000.0,3.0000001043081004,8.0,12.0,0.0,1.0
327,0,40000.0,130000000.0,0.5,2.0,1.0,6.980124929017603,1.0
328,1,740000.0,130000000.0,1.75,8.0,8.0,0.0,0.0
329,2,75000.0,130000000.0,7.1000000238419005,6.0,8.0,0.0,0.0
330,2,8000.0,130000000.0,3.25,7.0,9.0,0.0,1.0
331,0,40000.0,130000000.0,1.5,1.0,6.0,0.0,1.0
332,2,110000.0,130000000.0,3.5000000149012,7.0,12.0,0.0,1.0
333,3,985000.0,130000000.0,7.7000000178814005,13.0,11.0,12.0,1.0
334,1,15000.0,130000000.0,1.1000000238418999,4.0,8.0,0.0,1.0
335,0,30000.0,130000000.0,1.6000000238418999,10.0,4.0,0.0,1.0
336,1,255000.0,130000000.0,2.0,8.0,7.0,0.0,1.0
337,2,550000.0,130000000.0,5.5,5.0,13.0,0.0,1.0
338,0,101500.0,130000000.0,1.5000000149011998,8.0,6.0,2.0,1.0
339,3,620000.0,130000000.0,10.5,10.0,12.0,0.0,0.0
340,0,83000.0,130000000.0,3.0,7.0,3.0,6.980124929017603,1.0
341,0,238500.0,130000000.0,2.0,6.0,4.0,0.0,1.0
342,2,1100000.0,130000000.0,3.0,6.0,7.0,0.0,0.0
343,2,627500.0,130000000.0,6.6999999880790995,8.0,7.0,0.0,1.0
344,1,240000.0,130000000.0,2.25,8.0,6.0,0.0,1.0
345,2,276000.0,130000000.0,5.0,5.0,9.0,0.0,1.0
346,1,24000.0,130000000.0,0.875,4.0,8.0,0.0,1.0
347,3,750000.0,130000000.0,11.0,12.0,13.0,7.0,0.0
348,0,100000.0,130000000.0,4.0,3.0,3.0,0.0,1.0
349,2,150000.0,130000000.0,3.25,11.0,13.0,18.0,1.0
350,0,320000.0,130000000.0,1.5,2.0,4.0,0.0,1.0
351,0,90000.0,130000000.0,0.5,4.0,2.0,0.0,1.0
352,0,1440000.0,130000000.0,2.5,3.0,6.0,0.0,0.0
353,0,400000.0,130000000.0,2.0,8.0,4.0,0.0,1.0
354,1,590000.0,130000000.0,1.4500000029802,4.0,8.0,0.0,1.0
355,3,375600.0,130000000.0,16.5,6.0,14.0,40.0,1.0
356,0,690000.0,130000000.0,1.0,12.0,5.0,15.0,1.0
357,1,30000.0,130000000.0,2.25,4.0,9.0,0.0,1.0
358,2,1000000.0,130000000.0,5.0,4.0,7.0,0.0,1.0
359,2,140000.0,130000000.0,4.0,3.0,7.0,0.0,1.0
360,3,3700000.0,130000000.0,6.5,13.0,8.0,33.0,0.0
361,3,100000.0,130000000.0,11.0,11.0,8.0,0.0,1.0
362,2,400000.0,130000000.0,12.0,2.0,6.0,0.0,1.0
363,1,80000.0,130000000.0,2.2000000476837003,3.0,8.0,0.0,1.0
364,3,940000.0,130000000.0,9.5,11.0,11.0,0.0,0.0
365,0,400000.0,130000000.0,1.3000000119208999,10.0,5.0,0.0,1.0
366,0,200000.0,130000000.0,1.3999999761581001,3.0,5.0,0.0,1.0
367,0,193000.0,130000000.0,2.5000000298022997,4.0,5.0,0.0,1.0
368,2,80000.0,130000000.0,7.199999809265099,5.0,11.0,0.0,1.0
369,2,434000.0,130000000.0,6.75,9.0,12.0,10.0,0.0
370,1,12000.0,130000000.0,1.5000000074506,10.0,16.0,0.0,1.0
371,1,410000.0,130000000.0,1.1000000163913002,5.0,11.0,0.0,0.0
372,2,610000.0,130000000.0,3.5000000596046,4.0,12.0,3.0,1.0
373,1,20000.0,130000000.0,1.0,2.0,8.0,5.0,1.0
374,2,275000.0,130000000.0,10.0,2.0,5.0,6.980124929017603,0.0
