,cluster,crop_sales___output,y4_hhid,land_surface,number_of_tools_owned___policy,crop_diversification___policy,number_of_days_hired_workers___policy,household_head_is_monogamous
0,1,300000.0,1000000.0,2.1999999880791,3.0,11.0,0.0,1.0
1,0,750000.0,21000000.0,3.0,2.0,3.0,6.980124929017603,1.0
2,2,2256000.0,21000000.0,4.75,2.0,7.0,0.0,1.0
3,0,100000.0,23000000.0,1.25,2.0,5.0,1.0,1.0
4,0,15000.0,27000000.0,0.80000001192093,1.0,1.0,0.0,1.0
5,1,400000.0,34000000.0,2.200000077486,3.0,10.0,0.0,1.0
6,2,280000.0,36000000.0,6.25,3.0,21.0,2.0,1.0
7,2,1370000.0,36000000.0,6.0,7.0,21.0,2.0,1.0
8,2,130000.0,36000000.0,3.0,6.0,16.0,0.0,1.0
9,1,45600.0,36000000.0,3.0,4.0,19.0,0.0,1.0
10,2,1775000.0,36000000.0,4.0,5.0,19.0,0.0,0.0
11,0,154000.0,36000000.0,1.25,8.0,6.0,0.0,1.0
12,2,1080000.0,36000000.0,6.75,7.0,24.0,0.0,1.0
13,3,760000.0,36000000.0,18.0,8.0,17.0,0.0,1.0
14,1,300000.0,36000000.0,1.0,4.0,8.0,0.0,0.0
15,2,100000.0,37000000.0,4.0,7.0,14.0,0.0,1.0
16,2,680000.0,37000000.0,5.5,4.0,16.0,0.0,0.0
17,3,2710000.0,37000000.0,5.5,10.0,17.0,6.0,1.0
18,3,200000.0,37000000.0,7.25,14.0,20.0,0.0,0.0
19,2,200000.0,37000000.0,3.25,6.0,17.0,0.0,1.0
20,2,1320000.0,37000000.0,5.0,3.0,9.0,0.0,1.0
21,0,315000.0,37000000.0,3.5459534414117733,2.0,2.0,0.0,0.0
22,1,27000.0,38000000.0,1.0,4.0,9.0,0.0,1.0
23,1,12000.0,38000000.0,1.25,3.0,12.0,0.0,1.0
24,0,1230000.0,38000000.0,0.03999999910593,5.0,8.0,0.0,1.0
25,1,160000.0,39000000.0,1.9000000432133999,3.0,12.0,0.0,1.0
26,2,1130000.0,39000000.0,4.800000041723299,5.0,22.0,7.0,1.0
27,1,40000.0,39000000.0,0.90000001341105,7.0,7.0,0.0,1.0
28,3,25000.0,39000000.0,2.200000025332,16.0,16.0,3.0,1.0
29,0,24000.0,39000000.0,0.5,8.0,7.0,0.0,1.0
30,3,312000.0,39000000.0,6.5000000149012,10.0,14.0,0.0,1.0
31,2,850000.0,40000000.0,5.5,8.0,14.0,0.0,0.0
32,1,810000.0,40000000.0,2.0,6.0,17.0,0.0,1.0
33,3,1200000.0,40000000.0,16.5,15.0,18.0,0.0,1.0
34,2,22500.0,40000000.0,3.25,5.0,15.0,0.0,1.0
35,1,106000.0,40000000.0,2.125,7.0,19.0,0.0,1.0
36,1,366000.0,40000000.0,2.3000000193715002,4.0,18.0,0.0,1.0
37,3,350000.0,40000000.0,11.5,11.0,21.0,0.0,1.0
38,3,12000.0,42000000.0,8.5,11.0,22.0,0.0,1.0
39,2,585000.0,42000000.0,5.75,4.0,29.0,0.0,1.0
40,2,432000.0,42000000.0,3.5999999940394996,8.0,19.0,0.0,1.0
41,0,25000.0,42000000.0,1.0,3.0,7.0,0.0,1.0
42,1,384000.0,42000000.0,1.5,4.0,15.0,0.0,1.0
43,2,290000.0,42000000.0,3.75,8.0,11.0,0.0,1.0
44,1,320000.0,42000000.0,1.0,7.0,10.0,0.0,0.0
45,3,180000.0,42000000.0,14.0,9.0,21.0,0.0,1.0
46,1,212000.0,42000000.0,2.25,9.0,10.0,0.0,1.0
47,3,3460000.0,45000000.0,8.0,11.0,23.0,0.0,1.0
48,1,20000.0,46000000.0,1.25,6.0,13.0,0.0,1.0
49,1,320000.0,46000000.0,2.0,3.0,13.0,0.0,1.0
50,0,30000.0,46000000.0,0.5,2.0,8.0,0.0,1.0
51,1,176000.0,46000000.0,2.75,5.0,16.0,0.0,1.0
52,3,2690000.0,46000000.0,10.25,13.0,17.0,1.0,1.0
53,2,60000.0,46000000.0,12.0,4.0,11.0,0.0,0.0
54,2,750000.0,46000000.0,4.8250000029802,6.0,22.0,0.0,1.0
55,1,1455500.0,46000000.0,2.0,8.0,11.0,1.0,1.0
56,2,675000.0,46000000.0,5.0,5.0,19.0,0.0,1.0
57,0,180000.0,46000000.0,1.0,2.0,5.0,0.0,1.0
58,1,2326000.0,46000000.0,0.50000000745058,4.0,10.0,0.0,1.0
59,1,10000.0,48000000.0,0.625,5.0,10.0,0.0,1.0
60,2,144000.0,48000000.0,3.5,3.0,11.0,0.0,1.0
61,2,440000.0,48000000.0,3.0,8.0,16.0,0.0,1.0
62,3,3490000.0,48000000.0,8.0,18.0,19.0,39.0,0.0
63,1,438000.0,48000000.0,0.75,2.0,11.0,0.0,1.0
64,2,340000.0,48000000.0,5.0,6.0,13.0,0.0,1.0
65,1,100000.0,48000000.0,0.5,4.0,11.0,0.0,0.0
66,2,42000.0,48000000.0,3.75,9.0,14.0,5.0,1.0
67,3,50000.0,49000000.0,8.999999761581401,10.0,13.0,0.0,1.0
68,3,684000.0,49000000.0,6.0500000417233,13.0,24.0,0.0,1.0
69,2,200000.0,49000000.0,4.0,9.0,9.0,0.0,1.0
70,3,1920000.0,49000000.0,7.3999999538064,14.0,23.0,0.0,0.0
71,3,9598000.0,49000000.0,4.2500000149012,12.0,35.0,0.0,1.0
72,3,4114000.0,49000000.0,10.699999988079,18.0,17.0,0.0,0.0
73,2,920000.0,49000000.0,4.5,7.0,5.0,0.0,1.0
74,2,600000.0,49000000.0,4.25,2.0,12.0,0.0,0.0
75,1,20000.0,49000000.0,2.600000038743,5.0,11.0,0.0,1.0
76,2,684000.0,50000000.0,4.25,3.0,29.0,0.0,1.0
77,1,30000.0,50000000.0,2.0,6.0,9.0,0.0,1.0
78,2,964000.0,50000000.0,4.0,8.0,15.0,0.0,1.0
79,2,122000.0,50000000.0,4.0,9.0,8.0,6.980124929017603,1.0
80,1,240000.0,50000000.0,1.75,5.0,19.0,0.0,1.0
81,2,420000.0,50000000.0,3.75,9.0,21.0,0.0,1.0
82,2,828400.0,50000000.0,7.0,5.0,22.0,0.0,1.0
83,1,200000.0,51000000.0,1.6500000059605,9.0,8.0,0.0,1.0
84,3,510000.0,51000000.0,2.2500000111758998,14.0,22.0,0.0,1.0
85,0,50000.0,51000000.0,1.0,5.0,7.0,0.0,1.0
86,1,55000.0,51000000.0,1.8000000119209,1.0,12.0,0.0,1.0
87,2,668000.0,51000000.0,3.2000000029802003,8.0,7.0,0.0,1.0
88,3,540000.0,51000000.0,3.4000000208616,12.0,18.0,0.0,1.0
89,2,10200000.0,53000000.0,5.75,9.0,20.0,0.0,1.0
90,3,2894000.0,53000000.0,22.0,10.0,25.0,0.0,1.0
91,3,584000.0,53000000.0,12.0,11.0,21.0,0.0,1.0
92,2,1586000.0,53000000.0,6.25,6.0,19.0,0.0,1.0
93,0,126500.0,53000000.0,1.5,2.0,2.0,0.0,1.0
94,1,290000.0,53000000.0,2.5,4.0,15.0,0.0,1.0
95,1,140000.0,53000000.0,1.5,3.0,12.0,0.0,1.0
96,2,3150000.0,53000000.0,5.25,6.0,18.0,0.0,1.0
97,2,2526000.0,53000000.0,4.25,6.0,20.0,0.0,1.0
98,2,1250000.0,53000000.0,18.0,5.0,14.0,2.0,1.0
99,3,720000.0,54000000.0,4.0000000596046,12.0,12.0,0.0,1.0
100,2,340000.0,54000000.0,4.2500000819564,6.0,37.0,0.0,1.0
101,1,210000.0,54000000.0,2.0000000298023,4.0,16.0,2.0,1.0
102,1,240000.0,54000000.0,2.4000000059605,4.0,11.0,0.0,1.0
103,0,1440000.0,54000000.0,2.0,5.0,4.0,0.0,1.0
104,3,2350000.0,54000000.0,9.500000029802301,9.0,29.0,6.0,1.0
105,3,1384000.0,54000000.0,7.0000000596045995,12.0,24.0,0.0,1.0
106,3,1100000.0,54000000.0,10.400000035763,9.0,12.0,0.0,1.0
107,3,368000.0,54000000.0,4.4000000506639,14.0,15.0,0.0,1.0
108,0,90000.0,54000000.0,0.25,2.0,2.0,0.0,0.0
109,1,320000.0,57000000.0,1.9000000357628,4.0,7.0,16.0,1.0
110,2,300000.0,57000000.0,2.7500000298022997,10.0,16.0,5.0,1.0
111,2,560000.0,57000000.0,5.0500000268221,7.0,35.0,0.0,1.0
112,3,240000.0,57000000.0,3.5,13.0,12.0,0.0,1.0
113,3,1200000.0,57000000.0,3.25,14.0,17.0,1.0,1.0
