,clustered,input,method,model,mse,roc_auc,scaled_mse,segment
0,False,Highly correlated all,,Lasso,0.7813172848467701,0.5,0.7813172848467699,
1,True,Highly correlated all,clustered,Lasso,0.7947978878722989,0.5,0.7947978878722987,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
2,False,Highly correlated policy,,Lasso,0.85848385773634,0.5,0.8584838577363397,
3,True,Highly correlated policy,clustered,Lasso,0.8565368792581769,0.5,0.8565368792581767,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
