,clustered,input,method,model,mse,roc_auc,scaled_mse,segment
0,False,Highly correlated all,,Lasso,0.7705357902512864,0.5,0.7705357902512862,
1,True,Highly correlated all,clustered,Lasso,0.781557025165716,0.5,0.7815570251657158,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
2,False,Highly correlated policy,,Lasso,0.8314279352252559,0.5,0.8314279352252557,
3,True,Highly correlated policy,clustered,Lasso,0.8296529897958369,0.5,0.8296529897958367,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
