,segment_crop_sales___output___ethiopia_2011,crop_sales___output___ethiopia_2011,latitude___ethiopia_2015,longitude___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2011,land_surface___ethiopia_2011,quantity_of_chemical_fertilizers_used___policy___ethiopia_2011,number_of_oxen_owned___policy___ethiopia_2011,household_size___ethiopia_2011,number_of_plough_owned___policy___ethiopia_2011,uses_extension_program___policy___ethiopia_2011
0,1,1698.6594660007702,14.353816185,37.890876313,6.148538011695907,7377.0,0.0,7.0,8.0,3.0,0.0
1,1,315.2580026254665,14.353816185,37.890876313,6.148538011695907,837.0,0.0,2.0,7.0,2.0,0.0
2,0,1478.710155171831,14.353816185,37.890876313,6.148538011695907,20053.0,0.0,1.0,4.0,1.0,0.0
3,0,1035.8477229122473,14.353816185,37.890876313,6.148538011695907,9364.0,50.0,0.0,4.0,1.0,1.0
4,0,202.66585883065704,14.353816185,37.890876313,6.148538011695907,10510.0,0.0,2.0,1.0,1.0,0.0
5,0,1698.6594660007702,14.353816185,37.890876313,6.148538011695907,5541.0,176.99314397649363,0.0,2.0,2.0,0.0
6,1,1698.6594660007702,14.2885896726,38.210251919,0.0,6793.0,50.0,1.0,5.0,0.0,1.0
7,1,1698.6594660007702,14.2885896726,38.210251919,4.0,13625.0,150.0,2.0,6.0,0.0,1.0
8,2,1698.6594660007702,14.2885896726,38.210251919,0.0,26529.0,200.0,2.0,7.0,0.0,1.0
9,1,1698.6594660007702,14.2885896726,38.210251919,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,8.0,0.0,0.34354779071917174
10,1,96.07862937157074,14.2885896726,38.210251919,0.0,23554.0,200.0,2.0,10.0,0.0,1.0
11,2,1698.6594660007702,14.2885896726,38.210251919,0.0,34327.0,200.0,2.0,7.0,0.0,1.0
12,2,225.18428758961892,14.2885896726,38.210251919,0.0,20450.0,200.0,2.0,8.0,0.0,1.0
13,2,300.24571678615865,14.2885896726,38.210251919,0.0,17503.0,100.0,2.0,4.0,0.0,1.0
14,0,1698.6594660007702,14.2885896726,38.210251919,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,7.0,0.0,0.34354779071917174
15,2,1698.6594660007702,14.1097608206,38.4738350524,6.148538011695907,14077.079365079366,150.0,1.0,9.0,1.0,1.0
16,0,1698.6594660007702,14.0862760222,37.9831865445,14.0,26369.0,150.0,2.0,6.0,2.0,1.0
17,2,1651.3514423238723,14.0862760222,37.9831865445,8.0,13081.0,100.0,3.0,4.0,1.0,1.0
18,2,1125.9214379480948,14.0862760222,37.9831865445,3.0,9644.0,100.0,1.0,4.0,2.0,1.0
19,2,532.9361472954315,14.0862760222,37.9831865445,3.0,9853.0,75.0,2.0,3.0,1.0,1.0
20,2,923.2555791174376,13.642517175999998,38.119182234499995,2.0,10484.0,50.0,2.0,7.0,2.0,1.0
21,0,675.5528627688567,13.642517175999998,38.119182234499995,0.0,8963.0,50.0,2.0,7.0,3.0,1.0
22,0,705.5774344474727,13.642517175999998,38.119182234499995,23.0,8170.0,0.0,2.0,5.0,1.0,0.0
23,1,446.61550371941087,13.642517175999998,38.119182234499995,0.0,6412.0,0.0,1.0,5.0,1.0,0.0
24,0,532.9361472954315,13.642517175999998,38.119182234499995,0.0,14726.0,50.0,1.0,7.0,2.0,1.0
25,0,595.9877478205248,13.642517175999998,38.119182234499995,1.0,19339.0,100.0,4.0,5.0,3.0,1.0
26,0,562.9607189740474,13.642517175999998,38.119182234499995,0.0,8640.0,0.0,1.0,8.0,2.0,0.0
27,0,50.291157561681565,13.642517175999998,38.119182234499995,0.0,1346.0,176.99314397649363,2.0,2.0,1.0,0.0
28,0,1698.6594660007702,14.283467919300001,38.5730157222,6.148538011695907,5584.0,25.0,0.0,8.0,2.0,1.0
29,0,900.7371503584757,14.300795946700001,39.0594892637,0.0,8711.0,50.0,1.0,4.0,1.0,1.0
30,0,375.3071459826982,14.300795946700001,39.0594892637,0.0,16581.0,100.0,2.0,7.0,2.0,1.0
31,0,1501.2285839307929,14.300795946700001,39.0594892637,0.0,20220.0,200.0,2.0,8.0,3.0,1.0
32,0,1698.6594660007702,14.300795946700001,39.0594892637,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,1.0,0.0,0.34354779071917174
33,2,750.6142919653964,14.300795946700001,39.0594892637,0.0,8810.0,100.0,2.0,8.0,2.0,1.0
34,2,1698.6594660007702,14.300795946700001,39.0594892637,0.0,2112.0,6250.0,1.1476190476190475,3.0,0.0,1.0
35,2,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,1879.0,176.99314397649363,1.0,8.0,1.0,0.0
36,0,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,4542.0,176.99314397649363,0.0,2.0,0.0,0.0
37,0,172.64128715204117,14.158356643800001,39.2258474475,6.148538011695907,5827.0,176.99314397649363,0.0,2.0,0.0,0.0
38,0,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,4835.0,25.0,1.0,6.0,1.0,0.0
39,0,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,9571.0,100.0,1.0,11.0,1.0,1.0
40,2,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,6859.0,50.0,1.0,7.0,1.0,1.0
41,1,1698.6594660007702,14.158356643800001,39.2258474475,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,1.0,0.0,0.34354779071917174
42,2,1698.6594660007702,14.0859773206,38.9755077144,6.148538011695907,5061.0,176.99314397649363,2.0,5.0,2.0,0.0
43,2,1698.6594660007702,14.0859773206,38.9755077144,6.148538011695907,8214.0,176.99314397649363,1.1476190476190475,8.0,2.0,0.34354779071917174
44,2,1698.6594660007702,14.0859773206,38.9755077144,6.148538011695907,1942.0,176.99314397649363,1.1476190476190475,6.0,1.0,0.0
45,3,1698.6594660007702,14.0859773206,38.9755077144,6.148538011695907,10441.0,50.0,2.0,6.0,5.0,0.0
46,3,1698.6594660007702,14.0859773206,38.9755077144,6.148538011695907,5401.0,50.0,2.0,5.0,2.0,0.0
47,3,24.019657342892685,14.0859773206,38.9755077144,6.148538011695907,5708.0,50.0,2.0,5.0,7.0,0.0
48,3,1698.6594660007702,13.985946938,38.6492990176,6.148538011695907,17860.0,74.0,2.0,2.0,1.0,1.0
49,3,1698.6594660007702,13.8713387734,38.636690701599996,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,5.0,0.0,0.34354779071917174
50,3,1698.6594660007702,14.252706525399999,39.6508902034,6.148538011695907,5665.0,50.0,0.0,5.0,1.0,0.0
51,0,1698.6594660007702,14.252706525399999,39.6508902034,6.148538011695907,6120.0,0.0,2.0,10.0,1.0,1.0
52,2,1698.6594660007702,14.252706525399999,39.6508902034,6.148538011695907,4427.0,176.99314397649363,1.0,2.0,0.0,0.0
53,2,1698.6594660007702,14.319217469100002,39.2715992602,6.148538011695907,6947.0,50.0,2.0,6.0,1.0,1.0
54,3,1698.6594660007702,14.319217469100002,39.2715992602,6.148538011695907,3296.0,150.0,2.0,7.0,8.0,1.0
55,2,1698.6594660007702,13.984370506600001,39.5331294187,6.148538011695907,12694.0,61.0,1.0,5.0,1.0,1.0
56,2,1698.6594660007702,13.984370506600001,39.5331294187,6.148538011695907,8740.0,100.0,1.0,3.0,1.0,1.0
57,0,1698.6594660007702,13.984370506600001,39.5331294187,1.0,25877.0,100.0,2.0,8.0,3.0,1.0
58,2,1698.6594660007702,13.984370506600001,39.5331294187,6.148538011695907,11478.0,100.0,2.0,8.0,2.0,1.0
59,2,1698.6594660007702,13.984370506600001,39.5331294187,7.0,11945.0,100.0,0.0,8.0,3.0,1.0
60,3,1698.6594660007702,13.984370506600001,39.5331294187,6.148538011695907,8618.0,50.0,1.0,4.0,2.0,1.0
61,1,1698.6594660007702,13.984370506600001,39.5331294187,6.148538011695907,14016.0,125.0,1.0,7.0,0.0,1.0
62,1,1698.6594660007702,13.8014265472,39.6182529669,6.148538011695907,13381.0,0.0,2.0,7.0,2.0,1.0
63,2,234.1916590932037,13.8014265472,39.6182529669,3.0,15788.0,0.0,1.0,4.0,2.0,1.0
64,2,67.55528627688568,13.8014265472,39.6182529669,6.148538011695907,8755.0,0.0,0.0,4.0,0.0,1.0
65,1,1698.6594660007702,13.895387614,39.7873002106,6.148538011695907,2188.0,0.0,1.0,7.0,1.0,0.0
66,0,300.24571678615865,13.895387614,39.7873002106,6.148538011695907,5196.0,0.0,2.0,5.0,2.0,0.0
67,1,1698.6594660007702,13.895387614,39.7873002106,6.148538011695907,2606.0,0.0,0.0,2.0,2.0,1.0
68,1,240.19657342892685,13.895387614,39.7873002106,6.148538011695907,7858.0,176.99314397649363,1.0,5.0,2.0,0.0
69,0,180.14743007169517,13.895387614,39.7873002106,10.0,8869.0,0.0,2.0,5.0,3.0,0.0
70,2,222.9324447137228,13.234957733599998,39.1634392625,6.148538011695907,21495.0,125.0,2.0,8.0,1.0,1.0
71,2,317.50984550136275,13.234957733599998,39.1634392625,6.148538011695907,33886.0,94.0,2.0,6.0,2.0,1.0
72,1,102.8341579992593,13.234957733599998,39.1634392625,6.148538011695907,18839.0,125.0,1.0,1.0,2.0,1.0
73,1,454.12164663906486,13.234957733599998,39.1634392625,6.148538011695907,9429.0,150.0,1.1476190476190475,3.0,1.0,1.0
74,0,690.5651486081648,13.234957733599998,39.1634392625,6.148538011695907,32718.0,125.0,2.0,7.0,2.0,1.0
75,2,319.0110740852935,13.234957733599998,39.1634392625,6.148538011695907,23822.0,150.0,2.0,3.0,2.0,1.0
76,2,191.4066444511761,13.234957733599998,39.1634392625,6.148538011695907,5048.0,100.0,1.0,4.0,1.0,1.0
77,1,60.04914335723171,13.234957733599998,39.1634392625,6.148538011695907,7655.0,100.0,1.0,4.0,1.0,1.0
78,0,205.6683159985186,13.234957733599998,39.1634392625,6.148538011695907,7072.0,75.0,1.0,4.0,1.0,1.0
79,2,231.93981621730748,13.234957733599998,39.1634392625,6.148538011695907,22373.0,100.0,0.0,6.0,2.0,1.0
80,2,578.7236191053206,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,50.0,0.0,5.0,2.0,1.0
81,2,1698.6594660007702,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,100.0,0.0,7.0,3.0,1.0
82,2,236.44350196909988,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,100.0,1.0,6.0,2.0,1.0
83,2,55.545457605439346,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,50.0,2.0,5.0,2.0,1.0
84,2,187.6535729913491,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,100.0,3.0,5.0,3.0,1.0
85,2,370.0528459389405,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,50.0,2.0,3.0,2.0,1.0
86,2,1698.6594660007702,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,100.0,1.0,7.0,2.0,1.0
87,0,1698.6594660007702,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,100.0,2.0,8.0,2.0,1.0
88,2,1698.6594660007702,13.282024021600002,39.4405203839,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,2.0,0.0,0.34354779071917174
89,2,1698.6594660007702,13.01685124,39.3671636164,6.148538011695907,2008.0,50.0,1.0,7.0,1.0,1.0
90,1,930.7617220370917,13.01685124,39.3671636164,3.0,590.0,25.0,1.1476190476190475,3.0,0.0,1.0
91,0,585.4791477330093,13.01685124,39.3671636164,6.148538011695907,2813.0,25.0,1.1476190476190475,6.0,1.0,1.0
92,0,450.3685751792379,13.01685124,39.3671636164,6.148538011695907,2714.0,176.99314397649363,1.1476190476190475,2.0,2.0,0.0
93,1,1698.6594660007702,13.01685124,39.3671636164,6.148538011695907,14077.079365079366,176.99314397649363,1.1476190476190475,2.0,0.0,0.34354779071917174
94,2,1200.9828671446346,13.01685124,39.3671636164,6.148538011695907,5077.0,150.0,2.0,6.0,1.0,1.0
95,0,360.29486014339034,13.01685124,39.3671636164,6.148538011695907,3962.0,50.0,1.1476190476190475,7.0,2.0,1.0
96,0,112.59214379480947,13.01685124,39.3671636164,6.148538011695907,1887.0,37.0,0.0,2.0,1.0,1.0
97,0,1261.032010501866,13.01685124,39.3671636164,6.148538011695907,881.0,50.0,0.0,4.0,0.0,1.0
98,2,810.6634353226282,13.01685124,39.3671636164,2.0,2069.0,25.0,1.1476190476190475,4.0,0.0,1.0
99,2,1698.6594660007702,13.01685124,39.3671636164,6.148538011695907,1530.0,37.0,1.1476190476190475,4.0,0.0,1.0
100,2,86.3206435760206,12.782626815799999,39.3068867968,0.0,17707.0,50.0,2.0,8.0,1.0,0.0
101,0,1698.6594660007702,12.782626815799999,39.3068867968,0.0,18540.0,50.0,2.0,6.0,1.0,0.0
102,1,1698.6594660007702,12.782626815799999,39.3068867968,0.0,14300.0,176.99314397649363,0.0,6.0,1.0,0.0
103,0,1698.6594660007702,12.782626815799999,39.3068867968,6.148538011695907,28402.0,50.0,3.0,7.0,2.0,0.0
104,2,1698.6594660007702,12.782626815799999,39.3068867968,6.148538011695907,12246.0,50.0,0.0,6.0,2.0,1.0
