,segment_crop_sales___output___ethiopia_2013,crop_sales___output___ethiopia_2013,latitude___ethiopia_2015,longitude___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2013,land_surface___ethiopia_2013,quantity_of_chemical_fertilizers_used___policy___ethiopia_2013,number_of_oxen_owned___policy___ethiopia_2013,household_size___ethiopia_2013,number_of_plough_owned___policy___ethiopia_2013,uses_extension_program___policy___ethiopia_2013
0,2,1240.007453141599,14.353816185,37.890876313,0.0,25447.1,50.0,3.0,8.0,3.0,1.0
1,2,1697.09049243832,14.353816185,37.890876313,0.0,21196.6,50.0,1.036979969183359,8.0,2.0,1.0
2,0,4493.329927145857,14.353816185,37.890876313,0.0,19899.75,0.0,1.0,5.0,2.0,1.0
3,0,1103.1088200849076,14.353816185,37.890876313,0.0,8187.9,0.0,0.0,6.0,1.0,1.0
4,0,4164.660068443636,14.353816185,37.890876313,0.0,30193.72,0.0,0.0,7.0,1.0,1.0
5,2,1956.9463135597882,14.353816185,37.890876313,2.8043478260869565,16197.409979664464,66.48659585230146,1.036979969183359,5.0,1.0,0.4084471421345473
6,2,509.127147731496,14.2885896726,38.210251919,0.0,13504.75,100.0,1.0,7.0,1.0,1.0
7,2,882.4870560679262,14.2885896726,38.210251919,7.0,22315.950000000004,160.0,2.0,7.0,2.0,1.0
8,2,685.6245589450813,14.2885896726,38.210251919,0.0,28318.45,224.0,3.0,8.0,2.0,1.0
9,2,1841.9088811263894,14.2885896726,38.210251919,0.0,59803.3,180.0,2.0,7.0,2.0,1.0
10,1,1956.9463135597882,14.2885896726,38.210251919,0.0,25642.85,150.0,4.0,10.0,2.0,1.0
11,2,584.9305230604076,14.2885896726,38.210251919,0.0,31407.0,175.0,4.0,7.0,3.0,1.0
12,2,672.0478350055746,14.2885896726,38.210251919,0.0,24573.8,135.0,2.0,8.0,0.0,1.0
13,3,1250.1899960962287,14.2885896726,38.210251919,1.0,21256.45,182.0,2.0,5.0,3.0,1.0
14,0,2531.49331788716,14.2885896726,38.210251919,0.0,38706.60000000001,314.0,2.0,5.0,2.0,1.0
15,2,158.3951126275765,14.1097608206,38.4738350524,9.0,2552.7000000000007,50.0,0.0,9.0,1.0,1.0
16,2,526.0980526558791,14.0862760222,37.9831865445,2.0,21491.0,50.0,2.0,7.0,2.0,1.0
17,2,311.1332569470253,14.0862760222,37.9831865445,7.0,11243.5,50.0,2.0,4.0,2.0,1.0
18,2,848.5452462191597,14.0862760222,37.9831865445,0.0,5819.55,25.0,0.0,4.0,1.0,1.0
19,2,141.42420770319333,14.0862760222,37.9831865445,3.0,13999.8,50.0,2.0,3.0,1.0,1.0
20,2,791.9755631378825,13.642517175999998,38.119182234499995,0.0,13983.25,200.0,3.0,8.0,3.0,1.0
21,2,526.0980526558791,13.642517175999998,38.119182234499995,0.0,12297.249999999998,100.0,2.0,8.0,2.0,1.0
22,0,316.790225255153,13.642517175999998,38.119182234499995,2.0,16214.1,100.0,2.0,5.0,2.0,1.0
23,0,709.9495226700303,13.642517175999998,38.119182234499995,0.0,9427.6,0.0,1.0,7.0,1.0,1.0
24,0,98.99694539223532,13.642517175999998,38.119182234499995,0.0,9457.1,100.0,2.0,7.0,3.0,1.0
25,0,4152.214738165756,13.642517175999998,38.119182234499995,0.0,20344.25,150.0,2.0,4.0,3.0,1.0
