,segment_crop_sales___output___ethiopia_2015,crop_sales___output___ethiopia_2015,latitude___ethiopia_2015,longitude___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015
0,2,263.05913642062967,14.353816185,37.890876313,0.0,2112.93,50.0,0.0,1.0,1.0,1.0
1,2,2726.2492319956164,14.353816185,37.890876313,0.0,62619.24,0.0,1.0,9.0,2.0,1.0
2,0,2051.8612640809115,14.353816185,37.890876313,46.0,42159.87,50.0,2.0,5.0,2.0,1.0
3,0,824.5708203439373,14.353816185,37.890876313,0.0,11723.27,50.0,2.0,9.0,2.0,1.0
4,0,1377.4732961662064,14.353816185,37.890876313,0.0,37823.04,50.0,1.0,7.0,5.0,1.0
5,2,735.1307139609233,14.353816185,37.890876313,0.0,36000.369999999995,0.0,0.0,5.0,2.0,0.0
6,0,263.05913642062967,14.2885896726,38.210251919,0.0,15326.52,150.0,1.0,7.0,1.0,1.0
7,3,813.0918762092191,14.2885896726,38.210251919,0.0,28920.5,150.0,2.0,8.0,1.0,1.0
8,2,1434.8680168397982,14.2885896726,38.210251919,2.0,30789.570000000003,260.0,2.0,9.0,2.0,1.0
9,2,825.0491096828839,14.2885896726,38.210251919,1.0,28188.95,150.0,2.0,7.0,1.0,1.0
10,1,108.57167994087807,14.2885896726,38.210251919,0.0,35250.71,304.0,2.0,9.0,2.0,1.0
11,2,315.67096370475565,14.2885896726,38.210251919,7.0,59645.48,333.0,5.0,9.0,10.0,1.0
12,2,701.1721708957148,14.2885896726,38.210251919,0.0,25807.259999999995,130.0,2.0,9.0,1.0,1.0
13,2,370.6742376836146,14.2885896726,38.210251919,0.0,40416.51,156.0,2.0,5.0,2.0,1.0
14,2,2463.190095574987,14.2885896726,38.210251919,33.0,40561.75,208.0,4.0,6.0,2.0,1.0
15,2,119.57233473664984,14.1097608206,38.4738350524,2.0,709.55,4.0,0.0,3.0,1.0,1.0
16,2,1578.354818523778,14.0862760222,37.9831865445,13.0,15859.04,76.0,2.0,7.0,2.0,1.0
17,2,765.262942314559,14.0862760222,37.9831865445,19.0,14070.96,50.0,2.0,5.0,2.0,1.0
18,3,573.9472067359193,14.0862760222,37.9831865445,0.0,2084.870000000001,0.0,0.0,5.0,1.0,0.0
19,2,1291.3812151558184,14.0862760222,37.9831865445,0.0,13965.45,50.0,1.0,3.0,1.0,1.0
20,2,425.67751166247353,13.642517175999998,38.119182234499995,8.0,28078.75,100.0,2.0,8.0,3.0,1.0
21,3,432.37356240772573,13.642517175999998,38.119182234499995,4.0,18927.63,150.0,2.0,8.0,2.0,1.0
22,0,368.2827909888815,13.642517175999998,38.119182234499995,2.0,18366.09,100.0,3.0,5.0,2.0,1.0
23,0,932.6642109458687,13.642517175999998,38.119182234499995,2.0,18753.95,50.0,1.0,6.0,1.0,1.0
24,0,2487.104562522317,13.642517175999998,38.119182234499995,0.0,14494.79,100.0,2.0,8.0,2.0,1.0
25,0,416.1117248835415,13.642517175999998,38.119182234499995,0.0,33842.34,100.0,3.0,5.0,3.0,1.0
26,0,2401.012481511929,13.642517175999998,38.119182234499995,0.0,21490.45,0.0,3.0,8.0,2.0,0.0
27,0,229.57888269436768,13.642517175999998,38.119182234499995,0.0,3036.91,0.0,0.0,3.0,1.0,0.0
28,0,143.48680168397982,14.283467919300001,38.5730157222,0.0,24073.01,50.0,2.0,10.0,2.0,1.0
29,0,956.5786778931987,14.300795946700001,39.0594892637,0.0,1224.61,50.0,1.0,5.0,2.0,1.0
30,1,243.92756286276568,14.300795946700001,39.0594892637,0.0,2011.59,150.0,2.0,6.0,2.0,1.0
31,0,703.0853282515012,14.300795946700001,39.0594892637,0.0,2005.66,200.0,2.0,8.0,2.0,1.0
32,0,47.82893389465994,14.300795946700001,39.0594892637,0.0,306.66,20.0,0.0,1.0,0.0,1.0
33,0,416.1117248835415,14.300795946700001,39.0594892637,0.0,1204.07,100.0,2.0,7.0,2.0,1.0
34,2,196.09862896810574,14.300795946700001,39.0594892637,0.0,621.3199999999998,0.0,0.0,3.0,1.0,1.0
35,0,444.80908522033735,14.158356643800001,39.2258474475,0.0,10386.36,100.0,2.0,6.0,1.0,1.0
36,2,71.74340084198991,14.158356643800001,39.2258474475,0.0,1398.02,6.0,0.0,1.0,0.0,1.0
37,2,59.786167368324925,14.158356643800001,39.2258474475,0.0,1087.71,8.0,0.0,1.0,0.0,1.0
38,1,23.91446694732997,14.158356643800001,39.2258474475,0.0,7342.309999999998,0.0,0.0,5.0,1.0,0.0
39,0,1530.525884629118,14.158356643800001,39.2258474475,0.0,7577.66,50.0,1.0,10.0,2.0,1.0
40,2,2238.394106270085,14.158356643800001,39.2258474475,0.0,7685.93,20.0,2.0,10.0,2.0,1.0
41,2,239.14466947329967,14.158356643800001,39.2258474475,0.0,271.21000000000004,0.0,0.0,1.0,0.0,0.0
42,2,1231.5950477874935,14.0859773206,38.9755077144,0.0,10392.06,50.0,2.0,6.0,2.0,1.0
43,2,837.0063431565491,14.0859773206,38.9755077144,0.0,6780.000000000001,100.0,2.0,8.0,1.0,1.0
44,2,1181.3746671981005,14.0859773206,38.9755077144,0.0,1516.91,50.0,2.0,6.0,2.0,1.0
45,2,884.8352770512088,14.0859773206,38.9755077144,0.0,11737.9,50.0,1.0,6.0,1.0,1.0
46,3,837.0063431565491,14.0859773206,38.9755077144,0.0,1882.97,100.0,1.0,6.0,1.0,1.0
