,clustered,input,method,model,mse,roc_auc,scaled_mse,segment
0,False,Highly correlated all,,OLS,0.8420448832089298,0.5,0.8420448832089296,
1,True,Highly correlated all,clustered,OLS,0.843894651413614,0.5,0.8438946514136138,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
2,False,Highly correlated policy,,OLS,0.83332540176465,0.5,0.8333254017646498,
3,True,Highly correlated policy,clustered,OLS,0.8145750861230308,0.5,0.8145750861230305,"number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015"
