,cluster,crop_sales___output___ethiopia_2015,latitude___ethiopia_2015,longitude___ethiopia_2015,nid,number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015
0,0,263.05913642062967,14.353816185,37.890876313,0.0,0.0,2112.93,50.0,0.0,1.0,1.0,1.0
1,2,2726.2492319956164,14.353816185,37.890876313,1.0,0.0,62619.24,0.0,1.0,9.0,2.0,1.0
2,3,2051.8612640809115,14.353816185,37.890876313,7.0,46.0,42159.87,50.0,2.0,5.0,2.0,1.0
3,2,824.5708203439373,14.353816185,37.890876313,8.0,0.0,11723.27,50.0,2.0,9.0,2.0,1.0
4,2,1377.4732961662064,14.353816185,37.890876313,9.0,0.0,37823.04,50.0,1.0,7.0,5.0,1.0
5,1,735.1307139609233,14.353816185,37.890876313,10.0,0.0,36000.369999999995,0.0,0.0,5.0,2.0,0.0
6,2,263.05913642062967,14.2885896726,38.210251919,12.0,0.0,15326.52,150.0,1.0,7.0,1.0,1.0
7,2,813.0918762092191,14.2885896726,38.210251919,13.0,0.0,28920.5,150.0,2.0,8.0,1.0,1.0
8,2,1434.8680168397982,14.2885896726,38.210251919,15.0,2.0,30789.570000000003,260.0,2.0,9.0,2.0,1.0
9,2,825.0491096828839,14.2885896726,38.210251919,16.0,1.0,28188.95,150.0,2.0,7.0,1.0,1.0
10,2,108.57167994087807,14.2885896726,38.210251919,17.0,0.0,35250.71,304.0,2.0,9.0,2.0,1.0
11,3,315.67096370475565,14.2885896726,38.210251919,18.0,7.0,59645.48,333.0,5.0,9.0,10.0,1.0
12,2,701.1721708957148,14.2885896726,38.210251919,19.0,0.0,25807.259999999995,130.0,2.0,9.0,1.0,1.0
13,2,370.6742376836146,14.2885896726,38.210251919,20.0,0.0,40416.51,156.0,2.0,5.0,2.0,1.0
14,3,2463.190095574987,14.2885896726,38.210251919,21.0,33.0,40561.75,208.0,4.0,6.0,2.0,1.0
15,0,119.57233473664984,14.1097608206,38.4738350524,33.0,2.0,709.55,4.0,0.0,3.0,1.0,1.0
16,3,1578.354818523778,14.0862760222,37.9831865445,47.0,13.0,15859.04,76.0,2.0,7.0,2.0,1.0
17,3,765.262942314559,14.0862760222,37.9831865445,48.0,19.0,14070.96,50.0,2.0,5.0,2.0,1.0
18,0,573.9472067359193,14.0862760222,37.9831865445,52.0,0.0,2084.870000000001,0.0,0.0,5.0,1.0,0.0
19,2,1291.3812151558184,14.0862760222,37.9831865445,53.0,0.0,13965.45,50.0,1.0,3.0,1.0,1.0
20,3,425.67751166247353,13.642517175999998,38.119182234499995,58.0,8.0,28078.75,100.0,2.0,8.0,3.0,1.0
21,3,432.37356240772573,13.642517175999998,38.119182234499995,59.0,4.0,18927.63,150.0,2.0,8.0,2.0,1.0
22,2,368.2827909888815,13.642517175999998,38.119182234499995,60.0,2.0,18366.09,100.0,3.0,5.0,2.0,1.0
