,Unnamed: 0,children_education___output,crop_sales___output,expenditure___output,has_medical_assistance___output,no_food_deficiency___output,crop_diversification___policy,has_bank_account___policy,has_borrowed___policy,number_of_animals_owned___policy,number_of_hired_workers___policy,number_of_ploughs_owned___policy,owns_land_certificate___policy,quantity_of_fertilizers_used___policy,quantity_of_pesticides_used___policy,uses_credit___policy,uses_irrigation___policy,attended_school,distance_to_road,distance_to_market,household_head_age,household_head_is_divorced,household_head_is_male,household_head_is_monogamous,household_head_is_polygamous,household_head_is_separated,household_head_is_widowed,household_head_never_married,household_size,land_surface,literacy,lives_in_arusha,lives_in_daressalaam,lives_in_dodoma,lives_in_geita,lives_in_iringa,lives_in_kagera,lives_in_kaskazinipemba,lives_in_kaskaziniunguja,lives_in_katavi,lives_in_kigoma,lives_in_kilimanjaro,lives_in_kusinipemba,lives_in_kusiniunguja,lives_in_manyara,lives_in_mara,lives_in_mbeya,lives_in_mjinimagharibi,lives_in_morogoro,lives_in_mtwara,lives_in_mwanza,lives_in_njombe,lives_in_pwani,lives_in_rukwa,lives_in_ruvuma,lives_in_shinyanga,lives_in_simiyu,lives_in_singida,lives_in_tabora,lives_in_tanga,rural_household,weight,clusterid,latitude,longitude
number_of_hired_workers___policy,0.0823465022379782,0.0937166965036185,0.13183798094517013,0.16263803655664347,0.11098344897524719,0.10445157700527821,0.10961714773856644,0.18268295355142875,-0.001311146994124381,0.10747819780316267,1.0,-0.03233002711944929,0.034439221270906,0.05056503957981585,0.0453791556618489,-0.006451055553780744,0.0246393351441666,0.08659900672430615,-0.040708682854825186,-0.0014930253903957457,0.07265118409773981,0.024182360117024623,0.02814834627842748,-0.034440128296045765,0.01511467569040447,-0.049837778460202764,0.01415905230798866,-0.029245282867067846,-0.02284814787534522,0.0343598270976781,0.07314289963081673,-0.025793909646724414,0.07792474061623335,-0.07074888713270173,0.08698592272864138,-0.04218522752544426,0.07708142542682873,0.006830977192334569,0.07676419291281585,0.014649843621051782,-0.03134446695214603,-0.015634744423395845,0.056175773679373445,0.03659376399584191,-0.02452116528094686,-0.002325688123782528,0.09102697505103342,0.028649369861940208,-0.03803411620745054,-0.06573724650692468,0.04094531362764125,-0.021777276098132493,0.010302513380847525,0.025069402196104814,0.04007713108975738,-0.07274448327779161,-0.029966233203737515,-0.045708233310888115,-0.07034268516468219,0.03602260506606962,-0.043174428657771595,0.013911379406807187,0.08244473041723602,-0.003691315256589171,-0.026712062105617607
number_of_ploughs_owned___policy,0.04647517239821194,-0.04543276573698723,0.21855766755534128,0.11322749667508031,-0.0663527900976324,0.003507342104161691,-0.06678030179435646,-0.09639968259949337,0.02241802488201987,0.3496170369335925,-0.03233002711944929,1.0,-0.005648876035923815,0.22904591152968454,-0.009484995548612821,-0.02243840408423937,-0.025560544103821626,-0.1404211636918358,-0.05053701683690909,0.09517056987065384,0.0848991005777277,-0.04430842409167331,0.08175240493074892,0.028779605909634357,0.14721892312311488,-0.060790715959191735,-0.0271977235985772,-0.07250227591651322,0.2706469246029305,0.39734338575583894,-0.1540030914378605,0.06866439694433064,-0.1242329037399498,0.06353161273441905,-0.0344874915718223,0.013684427941773152,-0.053831985264965306,-0.04340481974178123,-0.038186201975451854,-0.02055762862030718,-0.029782364893412246,-0.04701492209163774,-0.038186201975451854,-0.02487796974047516,0.07168656933135607,0.06814882385346947,0.01353442412766127,-0.0870667237416506,-0.04100702180486802,-0.05670194638390075,0.02960002263285351,0.02370145176198569,-0.04309575841068732,0.04067361735015942,-0.04309575841068732,0.16195991567384288,0.1718776310459854,0.09975835313148684,0.16782326252636554,-0.030725698092905925,0.2060487358428242,0.0703660072271983,0.046483871984673346,0.08276374769925098,-0.20212670265409302
owns_land_certificate___policy,-0.04227277512211706,0.12982784502024128,0.05087094335247315,0.23983430257366647,0.018325284954003658,0.03409209390160247,0.02690024876666379,0.12116850475461105,-0.0020113144941928045,0.04580198936287366,0.034439221270906,-0.005648876035923815,1.0,0.07220884533295839,0.0012082292327114587,0.05265295462969796,0.018507031278956032,0.11687444703264137,-0.07868290200955227,-0.02908967060402532,0.011990702589955467,-0.013689975940738985,0.015338960960903463,0.06367145399670134,-0.009715713434222364,-0.006124818172159481,-0.026425532793402037,-0.020513157681233837,0.07058256819523469,-0.05225346292507722,0.14621988439580968,-0.018126893387843294,0.14848358520339977,0.02626128657194451,-0.03458903654002781,0.0019920476822239894,-0.060165683759618685,0.048133294484938555,0.019575396283439687,0.009092135975639655,-0.030812728989979412,-0.019267839037470078,0.01844277783908294,0.01183452670827877,0.015109947130387486,-0.01416872693951629,-0.0033529024703934235,0.0692098701863242,0.035355339059327376,-0.0047276348024257436,0.021102871326752943,0.010531057291256496,-0.017350306379343036,-0.0431799967499857,-0.02626128657194451,-0.015749532442695807,-0.03363042565458362,0.03021989426077497,-0.042409446483998546,0.06267049786392428,-0.2220497006935391,-0.015260296942062839,-0.04224842193660107,-0.0691512912804134,0.12016247994419527
quantity_of_fertilizers_used___policy,-0.04531942948987588,0.1399343233299455,0.20285663969082385,0.2905816622481176,0.0034735083306486046,0.10598782284822816,0.16887025006535133,0.1422473673364023,0.06666418798139134,0.19208371598547497,0.05056503957981585,0.22904591152968454,0.07220884533295839,1.0,0.21354817221019246,0.11732131079064322,0.2009878847341841,0.14416440861581023,-0.12257311917894863,0.06811647856693927,0.047390730917293414,-0.08059130817506209,0.037438503491259795,0.07076579588102928,0.013875767100690956,-0.0798109563791358,0.010173875849852325,0.029185593924345242,0.15635262374889963,0.15482898789610222,0.15840693288076244,0.022271655386424505,0.007364311323651563,-0.023844380478040182,-0.01884145276176905,0.10088637355864315,-0.027134397451180816,-0.03974233698486481,-0.03589101248507192,-0.0531160434442646,-0.06105986202680338,0.2007092779856572,-0.06652381793034748,-0.019356239793468004,0.053782812530335004,-0.015307996264526075,0.10486430114603681,-0.038652529937216164,-0.10283071199534234,-0.10765090518216497,0.04505471638515547,0.06460393197311859,-0.07959130134552997,-0.04506313145184315,0.007094229520256472,0.06312043780671636,-0.03958009378499604,0.04361635518561483,0.1116673628906009,-0.02076932511347649,0.07120084535073258,0.04784723946883346,-0.045197573773503225,-0.027920474770974035,-0.09015947115507074
quantity_of_pesticides_used___policy,-0.12205944201248362,0.09631395421089774,0.30529694034812016,0.08715062996577194,0.05228343563611976,-0.02335897297514684,0.14887261978803867,0.08171833583188604,0.12990626765671595,0.08249247195326857,0.0453791556618489,-0.009484995548612821,0.0012082292327114587,0.21354817221019246,1.0,0.09131507278971773,0.1503363198989462,0.11805358769277416,-0.0322358833236658,-0.002930121450444393,-0.027701570390636785,0.001028549717676059,0.04215118335526628,0.05517210139346201,0.008815555534559611,-0.035845721575221944,-0.021134437678079467,0.025531217736475695,-0.0014316460184833984,0.09485196100153105,0.11080030798680936,-0.01025207683996608,0.0042938525547663526,-0.07155983864861841,-0.035963693996514494,0.11391152411355511,-0.08752202164685444,-0.050499583339019785,-0.030683362604934653,-0.036628021375177594,-0.04849289451039877,0.1478242661319728,-0.05576669567864771,-0.03752812568014053,0.029055881226905236,-0.030600304221407564,0.03170238886689336,-0.045072497117820666,-0.04650129862753965,0.13737959152462015,-0.04024686143303338,0.04913878712514708,-0.027124832603989707,-0.05328339142170156,0.0014780350396276975,-0.025969340312894544,0.0438898229376999,-0.036585690672894175,-0.01919746491051457,-0.01871221522305396,0.07276691813018768,-0.02852164517460637,-0.12210460646531984,0.00854083220951044,0.1236933809421196
uses_credit___policy,-0.1441318058497257,0.05224097201200348,0.07511211599097282,0.14615165134588504,0.060033005760915525,-0.020916089673109397,0.04269899801846136,0.19514334752389087,0.20975966752889788,0.04665014430898869,-0.006451055553780744,-0.02243840408423937,0.05265295462969796,0.11732131079064322,0.09131507278971773,1.0,0.006317475914574178,0.09687164757600224,-0.024130693156954694,-0.006094842335983484,-0.02766326033009146,-0.0031239894664999318,-0.01140080176001233,0.010543858917914954,-0.04207361737393718,0.01766914341198626,-0.030694562263919062,0.020621164561436797,0.022220507190645503,0.03297833831644808,0.09566744589153052,0.01406140149591677,0.021159127440345524,0.008719654339002446,0.02890399196382892,-0.0007811889719953762,0.035761252501554396,-0.06221238410132584,-0.05336099666922575,-0.02867378404306486,-0.036498882977090086,0.08648437244129827,-0.05336099666922575,-0.038785087702182926,-0.017478971228369118,0.00416634118397534,-0.027695343978576727,-0.10966348036413662,0.0746259603105456,0.03977891310575251,0.02417348309335969,-0.014099100492496557,-0.006755486716749663,-0.03562267911763424,-0.03971805614400288,0.007518812015476723,0.010697666305596673,0.04538785383541781,-0.0031360194283277434,0.03540027775778546,-0.06052736906835595,0.11139003919104391,-0.14410320996918521,0.046190352140118136,-0.04684914191958253
uses_irrigation___policy,-0.011451719163015135,0.05180852459771317,0.06766921386001822,0.06024161494268994,0.01750463252029697,0.004767774991242218,0.06424076929254618,0.07247946964278526,0.011826930668709514,0.010642526814685313,0.0246393351441666,-0.025560544103821626,0.018507031278956032,0.2009878847341841,0.1503363198989462,0.006317475914574178,1.0,0.04984145079378589,-0.008220724053383602,-0.007022681781099431,-0.014457427809661732,-0.0350579854198147,-0.001159361166805855,0.026580772782758465,-0.01727918882024294,-0.03347053359550713,0.012982727794960737,0.003493572970063249,0.0284160733377384,-0.04692862937024225,0.05294218256308583,0.004648487701186151,0.06528215644834268,-0.030635947583631563,-0.03199191016556271,-0.034313721135274144,-0.021335572418472303,0.07745813020703514,0.0012877241030401034,-0.02744522109221202,-0.01030210265488346,0.08805288386613663,-0.002216857340885589,0.015814400854608557,0.01850029335276248,-0.014403047670898509,0.011077395023332612,0.03397649512176761,-0.0049744438771358685,0.013728977219657866,-0.01564802131674584,0.01584738363317212,-0.028049635672660722,-0.0001782081089100628,-0.012714981065009177,-0.0007284322025010498,-0.004668829892124187,-0.027748921821275276,-0.013545844726358898,0.006464294892492825,-0.018705784646497692,0.0012993747796179902,-0.011288469115999672,-0.017242530020523214,0.06804062306051012
attended_school,-0.13332615641172538,0.6546226583008153,0.08256527806023298,0.2784082597203549,0.01876256510119812,0.1292212253796774,0.16357294929950417,0.3018918348210398,0.010590320414486109,-0.071617890465223,0.08659900672430615,-0.1404211636918358,0.11687444703264137,0.14416440861581023,0.11805358769277416,0.09687164757600224,0.04984145079378589,1.0,-0.09900507244142577,-0.07067155416045215,0.03807092816854554,-0.0009697774930816748,0.005851105139461802,0.0001368105301517917,-0.12133396547742215,0.0755099834736848,-0.018754746081058298,0.19279393958275026,-0.18084954182241922,-0.20599809329494018,0.8538245550183927,-0.036582225078598575,0.23010550560253662,-0.07482140705201816,-0.023848823086639225,0.011417874874026126,-0.0205800307840527,-0.0608390129045308,-0.053242745649391486,-0.06844937686869022,-0.053866804796515864,0.11751680277329596,-0.0058914401504027965,0.02923782826431741,-0.00850347702518467,-0.02807828192338735,0.013454509410666225,0.06315325250653818,0.02053784218789805,0.0209639729541848,-0.0323015451615417,0.03643193170927988,-0.03823646447410038,-0.0434301010011181,0.0448566550685218,-0.08951994847173178,-0.10797867408758578,-0.017942945701589448,-0.14310472123694054,-0.013382933680732147,-0.25611184702912393,-0.04997749903829841,-0.13329229156856756,-0.11004921289639205,0.19397922694809747
distance_to_road,0.035916790865121236,-0.050101087363949935,-0.04554790180098054,-0.08784670535635056,-0.04960199657183652,0.051760315030302345,-0.1282585278521731,-0.08119396228016916,-0.10266861642198392,-0.0538206472254392,-0.040708682854825186,-0.05053701683690909,-0.07868290200955227,-0.12257311917894863,-0.0322358833236658,-0.024130693156954694,-0.008220724053383602,-0.09900507244142577,1.0,0.27475115501672187,-0.06761115752667012,0.014978899781580506,0.04974003084196971,0.043495573328190325,0.04067483692039502,-0.01126757712452629,-0.08231759992589964,-0.013212931557318536,0.04945939734349648,-0.17847306884265,-0.10159535738789781,-0.07280715448981662,-0.09865786234776061,-0.02307004265987198,-0.07923669167142298,-0.01211593901141257,-0.08233470078768544,0.041865016370476515,0.08192189185601473,0.06256354508655294,0.1259098009273584,-0.11464408326744031,0.09490839842724672,0.025439455270882393,-0.051704081986515035,-0.046865831087653465,0.018876909541487383,0.022301424814909723,0.044812994918238355,0.06743005566766158,-0.07397479622939829,-0.0040377577663887705,-0.0244443725096126,0.05934570204608479,0.07490096477236684,-0.012429369476023536,-0.04202260543702449,-0.013763004395989362,0.05392692575420973,-0.009835460363765626,-0.03688999373841243,-0.08211000870544612,0.035760869659441294,-0.052959819918101544,0.03345851752841645
distance_to_market,0.03446207373070125,-0.07052836240374538,0.0005855019113999535,-0.013292370310626215,-0.030327971809063672,0.006426468787515916,-0.12300342498947325,-0.02143970660148655,0.09684299569721445,0.05987130769242446,-0.0014930253903957457,0.09517056987065384,-0.02908967060402532,0.06811647856693927,-0.002930121450444393,-0.006094842335983484,-0.007022681781099431,-0.07067155416045215,0.27475115501672187,1.0,-0.06373685775568406,-0.04590732217160575,0.02465379222822865,0.053594445632258486,0.016467734946716724,-0.04673684621824992,-0.03674489018885293,-0.0012455256142531337,0.08711878885316958,-0.009535074603393043,-0.0697041996506654,0.005388403644757848,-0.04810085346352786,0.056521176950300275,-0.059907765958073685,0.010533406545298014,-0.07931384921525061,-0.062230082618284346,-0.002545410909988494,-0.0031248771964162885,-0.00811222864740957,0.0003292076751051133,0.044511534352884075,0.0398891940514962,0.05408255088634467,0.004670772453935711,0.015276349593956393,0.024825887961044228,0.029214518841232676,-0.14261935945598586,0.03191714306996017,0.008097528829613688,-0.0811836676990849,-0.009530823065764188,0.049862537950433376,0.058997298760081744,0.08292332719821574,0.010794786260128777,0.048688960751923645,0.039502080959899155,0.04193852001952224,0.0066995582947651155,0.034424121765375855,-0.04164778998446877,-0.04536097522598102
